student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade
139,20.7,100.0,6.1,100.0,A
141,16.6,70.8,7.0,95.0,A
142,24.1,86.1,4.2,100.0,A
149,18.7,92.8,10.0,100.0,A
151,16.8,74.8,6.2,90.2,A
152,17.4,70.0,8.4,94.4,A
154,16.6,81.2,4.8,100.0,A
155,17.1,76.4,3.3,100.0,A
156,10.0,90.3,5.5,92.4,A
157,28.1,100.0,5.5,100.0,A
160,19.6,78.5,10.0,93.2,A
162,20.5,96.7,5.5,95.8,A
163,23.1,93.9,2.1,100.0,A
165,21.7,74.0,4.6,97.4,A
166,17.9,78.1,6.8,100.0,A
167,20.8,77.4,3.9,100.0,A
168,28.3,87.7,3.9,100.0,A
174,17.4,93.7,6.9,100.0,A
178,25.2,88.0,6.0,100.0,A
179,13.1,79.1,4.8,92.9,A
180,34.0,100.0,0.6,100.0,A
181,19.4,94.8,7.4,100.0,A
184,18.4,100.0,9.4,100.0,A
186,20.0,84.5,3.8,100.0,A
187,18.3,89.6,6.7,96.5,A
188,14.5,81.9,1.8,97.2,A
192,21.0,79.3,6.2,100.0,A
196,17.7,89.0,4.9,92.5,A
198,16.1,82.7,6.2,93.9,A
199,15.4,68.2,9.3,99.8,A
202,18.9,82.4,5.8,100.0,A
203,22.6,80.2,5.0,100.0,A
204,22.4,77.5,5.1,99.4,A
207,18.6,98.2,1.0,90.5,A
209,18.6,89.0,2.7,98.1,A
210,40.0,68.1,6.7,100.0,A
211,19.0,88.0,7.3,95.5,A
212,22.9,79.5,5.2,100.0,A
213,21.7,98.3,7.1,100.0,A
214,19.6,82.6,8.7,90.2,A
216,20.3,81.4,7.1,100.0,A
218,13.3,80.9,4.6,97.4,A
221,31.2,95.1,2.1,100.0,A
223,19.8,83.0,4.6,100.0,A
226,22.6,73.5,4.8,100.0,A
230,19.8,84.4,7.6,100.0,A
232,16.5,99.4,6.7,100.0,A
235,30.0,81.2,8.1,100.0,A
236,19.4,83.3,1.8,100.0,A
238,16.3,70.2,7.5,96.0,A
240,21.0,96.9,8.9,100.0,A
244,21.1,88.6,8.5,100.0,A
246,12.7,77.4,10.0,91.1,A
249,27.4,97.6,6.7,100.0,A
252,21.4,88.4,6.7,100.0,A
253,29.9,90.6,4.3,100.0,A
254,22.2,90.5,6.7,94.1,A
257,23.9,68.3,7.0,100.0,A
259,18.1,74.1,3.5,98.1,A
260,20.4,85.1,2.2,100.0,A
267,26.4,74.0,9.4,100.0,A
271,25.1,83.8,5.4,100.0,A
273,23.1,96.6,8.9,100.0,A
274,15.1,72.9,2.0,90.1,A
276,18.2,72.6,7.1,100.0,A
282,19.6,88.3,6.5,100.0,A
283,26.1,100.0,3.9,100.0,A
285,29.9,81.2,5.6,100.0,A
288,19.1,80.3,4.9,100.0,A
291,13.5,92.2,7.4,92.4,A
297,21.3,100.0,6.9,94.9,A
298,17.2,77.6,6.7,92.6,A
299,20.7,84.6,10.0,95.8,A
300,19.4,93.6,6.2,100.0,A
303,20.2,70.6,4.7,100.0,A
304,19.3,91.1,5.8,100.0,A
307,23.9,86.1,4.9,100.0,A
310,13.6,97.7,3.5,100.0,A
311,13.5,73.9,8.6,90.6,A
312,22.7,85.4,9.2,95.9,A
313,20.8,84.2,7.3,99.6,A
314,20.7,88.8,3.8,100.0,A
315,24.1,80.4,4.9,100.0,A
317,19.8,73.4,2.8,100.0,A
319,17.3,85.2,6.6,94.6,A
324,29.6,100.0,6.1,100.0,A
327,23.1,81.6,3.7,98.6,A
328,20.5,93.7,8.2,100.0,A
329,19.4,87.7,5.8,100.0,A
330,19.4,80.3,5.4,97.9,A
331,14.9,100.0,10.0,90.5,A
333,15.5,75.8,7.2,93.3,A
335,21.8,88.8,7.0,100.0,A
336,14.0,98.7,6.6,97.8,A
339,17.9,78.4,5.8,99.9,A
340,11.1,88.1,7.4,94.6,A
343,16.7,94.9,10.0,97.0,A
346,16.6,100.0,4.3,100.0,A
350,13.5,80.0,4.4,91.5,A
351,17.2,85.4,4.9,100.0,A
352,25.3,85.3,7.6,100.0,A
357,14.9,90.4,7.2,94.7,A
359,17.3,90.4,6.4,100.0,A
362,25.7,65.4,6.7,100.0,A
365,19.8,80.0,1.9,95.4,A
369,15.7,91.3,3.1,93.3,A
371,15.2,88.4,5.7,96.4,A
372,18.5,97.3,6.4,95.0,A
373,25.2,100.0,6.9,100.0,A
374,21.7,97.8,1.2,100.0,A
375,30.1,99.7,6.6,100.0,A
377,21.1,80.3,7.5,92.2,A
378,16.3,94.9,6.0,100.0,A
379,30.3,64.4,4.1,100.0,A
386,16.1,76.0,9.5,92.1,A
388,28.1,77.2,7.5,100.0,A
389,21.7,85.5,5.8,100.0,A
390,11.0,70.7,5.4,97.6,A
394,27.8,80.3,9.5,100.0,A
395,23.3,90.6,6.3,100.0,A
398,24.5,85.5,8.1,100.0,A
400,23.7,87.9,6.6,100.0,A
404,15.3,82.9,9.9,90.2,A
410,18.6,87.8,4.1,91.5,A
411,20.0,83.3,6.5,100.0,A
414,23.9,70.1,7.7,100.0,A
417,25.9,79.2,5.7,100.0,A
418,15.8,90.1,5.7,96.3,A
419,23.3,66.9,4.6,100.0,A
420,15.5,98.2,4.7,90.5,A
421,29.4,91.3,7.9,100.0,A
422,27.3,83.0,5.4,100.0,A
426,24.6,93.6,4.9,100.0,A
428,19.8,100.0,4.9,100.0,A
429,22.4,82.9,4.4,96.4,A
434,20.0,80.1,2.2,97.8,A
435,25.5,95.1,6.7,100.0,A
436,15.5,91.8,4.9,92.8,A
437,26.4,90.4,6.3,100.0,A
446,19.7,81.0,7.8,98.2,A
447,17.6,84.0,5.5,100.0,A
452,21.7,80.6,8.4,100.0,A
457,14.3,83.4,5.0,93.4,A
461,28.8,70.1,3.9,100.0,A
462,15.2,100.0,3.5,94.0,A
463,10.1,100.0,4.9,96.2,A
466,13.5,96.6,4.9,99.2,A
467,19.3,72.7,7.2,92.8,A
468,20.3,89.4,4.9,100.0,A
474,24.6,98.7,5.5,100.0,A
475,26.5,77.8,6.3,100.0,A
478,17.2,98.3,5.3,97.2,A
479,36.6,77.7,5.2,100.0,A
480,22.8,89.4,5.0,100.0,A
489,26.8,72.8,6.4,100.0,A
490,21.2,82.5,9.3,100.0,A
492,25.4,78.1,5.4,100.0,A
493,15.5,70.6,8.4,100.0,A
495,25.7,88.9,6.6,100.0,A
496,18.8,83.2,7.7,100.0,A
498,13.7,87.0,5.6,100.0,A
501,21.5,99.4,2.8,100.0,A
502,28.4,78.6,5.8,100.0,A
504,18.9,82.7,3.6,95.4,A
512,14.6,91.1,8.7,91.1,A
513,13.3,85.4,0.9,92.8,A
516,20.3,75.4,5.2,94.3,A
517,18.5,93.7,5.5,92.6,A
519,15.7,94.4,8.0,96.1,A
520,20.3,98.4,5.2,100.0,A
522,18.8,98.8,5.9,90.7,A
524,19.0,85.9,8.0,100.0,A
531,19.5,77.4,5.3,99.3,A
538,12.3,86.8,7.1,92.0,A
539,22.0,74.0,4.5,100.0,A
541,20.8,81.3,6.2,96.5,A
544,25.1,90.6,6.9,100.0,A
548,13.6,94.1,8.2,100.0,A
551,15.6,90.9,6.0,100.0,A
553,23.2,82.3,8.7,98.9,A
554,16.8,78.2,7.9,98.6,A
555,17.4,75.7,4.7,100.0,A
559,17.8,73.9,4.2,100.0,A
560,12.1,67.1,3.3,100.0,A
561,17.0,79.1,4.8,100.0,A
562,29.5,94.1,2.5,100.0,A
565,23.4,84.8,8.4,100.0,A
566,12.1,80.1,9.8,100.0,A
571,15.1,100.0,5.0,100.0,A
572,26.7,76.0,4.1,100.0,A
573,17.3,76.1,6.6,99.4,A
578,20.4,100.0,3.8,95.8,A
580,23.0,93.0,7.6,100.0,A
583,19.4,89.4,3.6,100.0,A
584,30.9,100.0,7.1,100.0,A
585,16.3,74.3,6.4,99.9,A
589,20.8,80.6,5.3,100.0,A
591,15.5,81.6,7.6,93.7,A
593,18.4,79.1,2.0,91.3,A
595,22.3,91.5,4.5,99.3,A
597,13.1,63.1,4.0,99.9,A
599,11.9,65.9,4.7,100.0,A
600,17.6,93.8,7.0,91.4,A
603,21.1,99.7,6.0,100.0,A
604,24.5,80.9,8.2,100.0,A
605,17.9,80.6,6.0,100.0,A
606,28.1,97.7,6.0,100.0,A
610,25.5,80.4,5.2,100.0,A
611,19.6,75.5,10.0,100.0,A
613,17.0,93.8,7.0,99.1,A
615,32.1,78.9,4.7,100.0,A
616,15.9,90.2,7.6,97.6,A
617,15.8,92.5,3.3,96.7,A
618,20.1,79.0,8.9,100.0,A
619,18.4,100.0,8.5,98.9,A
620,16.6,91.6,4.9,93.2,A
623,28.2,78.6,5.8,100.0,A
624,24.4,92.7,4.3,100.0,A
625,26.2,77.9,4.6,100.0,A
626,11.4,90.2,6.9,91.1,A
630,22.7,89.6,5.7,100.0,A
632,25.7,94.9,4.4,100.0,A
637,20.8,87.1,8.6,100.0,A
642,26.7,100.0,6.0,100.0,A
643,13.2,85.6,7.9,94.7,A
648,14.6,91.4,6.5,90.0,A
650,19.9,94.1,1.9,93.6,A
651,27.9,74.4,6.1,100.0,A
652,22.9,89.2,6.2,100.0,A
655,33.0,85.3,5.7,100.0,A
656,15.4,76.3,7.4,97.4,A
657,15.1,77.8,6.9,94.8,A
658,14.8,89.0,6.3,93.2,A
659,16.4,86.7,6.3,92.2,A
663,14.8,89.5,8.6,98.8,A
668,25.5,81.7,5.3,100.0,A
670,22.6,83.7,5.9,100.0,A
671,23.7,84.7,5.8,97.7,A
678,27.3,88.2,6.6,100.0,A
679,21.5,81.2,9.7,100.0,A
680,23.9,74.2,10.0,100.0,A
681,20.1,82.8,5.0,100.0,A
683,11.3,90.3,7.0,94.8,A
684,18.4,90.2,8.3,100.0,A
686,20.0,84.5,7.9,100.0,A
687,13.3,57.2,8.2,95.1,A
689,20.0,84.6,6.0,100.0,A
690,18.1,75.7,3.1,100.0,A
692,23.1,80.8,10.0,100.0,A
694,19.3,97.0,6.0,96.8,A
695,19.2,84.3,5.2,100.0,A
696,12.8,94.0,5.9,100.0,A
697,17.3,75.5,9.4,100.0,A
699,21.5,71.9,8.7,100.0,A
702,22.3,78.9,3.4,96.1,A
706,19.2,100.0,7.9,100.0,A
708,27.3,89.8,4.7,100.0,A
710,26.9,74.4,10.0,100.0,A
712,14.3,93.9,8.4,93.7,A
714,17.8,82.3,2.7,98.9,A
716,22.7,79.3,4.0,100.0,A
717,15.8,100.0,3.0,100.0,A
718,16.1,100.0,5.9,97.3,A
724,20.2,95.3,5.3,100.0,A
726,13.7,69.9,5.3,99.6,A
727,15.1,92.9,3.6,100.0,A
735,22.2,91.4,7.1,99.5,A
736,18.3,88.2,3.9,98.8,A
738,21.9,86.5,8.4,100.0,A
739,26.7,60.0,5.1,100.0,A
740,22.1,94.4,5.5,93.4,A
742,6.0,71.4,6.4,92.3,A
745,18.6,88.3,6.2,97.9,A
754,22.4,77.3,7.6,100.0,A
756,33.4,78.4,6.7,100.0,A
757,18.5,80.7,6.0,94.7,A
758,16.3,69.5,9.8,91.8,A
760,19.9,81.7,6.4,100.0,A
762,15.9,80.6,4.6,98.1,A
763,32.9,100.0,2.9,100.0,A
764,14.3,88.0,5.7,97.8,A
765,23.0,89.2,4.6,100.0,A
768,27.4,82.0,4.1,100.0,A
770,27.7,73.8,9.2,100.0,A
771,20.0,78.6,6.0,100.0,A
773,19.4,81.4,7.9,100.0,A
779,14.5,86.2,3.9,100.0,A
780,19.3,83.8,5.6,100.0,A
783,17.7,84.4,5.8,98.3,A
784,19.3,80.6,5.0,100.0,A
786,22.6,84.4,1.6,100.0,A
787,20.8,88.2,5.2,100.0,A
788,18.2,78.9,8.3,93.4,A
791,18.0,69.9,5.8,100.0,A
792,16.5,95.8,10.0,93.5,A
793,16.9,90.6,3.5,95.4,A
796,22.4,86.4,6.6,100.0,A
797,14.7,82.6,4.4,97.2,A
799,15.2,81.7,4.4,90.1,A
800,15.2,72.5,6.4,100.0,A
803,15.7,93.0,6.2,100.0,A
806,12.8,77.6,9.0,100.0,A
807,16.6,72.1,4.8,97.5,A
809,23.8,100.0,5.3,93.9,A
813,25.1,84.2,6.4,100.0,A
814,16.4,85.6,4.8,96.1,A
815,22.2,57.4,6.1,100.0,A
818,21.2,81.8,4.9,100.0,A
820,22.5,91.4,5.6,100.0,A
822,24.9,97.8,3.5,100.0,A
823,31.1,86.7,7.1,100.0,A
826,25.2,68.0,4.9,100.0,A
827,26.1,92.7,5.9,100.0,A
830,13.0,64.2,5.4,97.3,A
835,14.8,83.7,7.5,100.0,A
836,16.6,88.9,4.6,100.0,A
837,25.9,86.2,9.1,100.0,A
838,8.0,68.7,9.8,100.0,A
839,21.9,87.9,6.9,100.0,A
842,19.7,85.9,5.6,90.1,A
844,17.7,100.0,8.8,92.2,A
846,18.4,77.4,5.3,100.0,A
848,32.2,90.5,7.2,100.0,A
852,11.1,69.4,6.8,90.2,A
854,23.3,100.0,4.0,94.4,A
855,24.9,88.9,4.8,100.0,A
860,19.4,77.9,6.9,100.0,A
861,16.4,83.3,5.3,90.8,A
863,25.8,75.6,7.4,100.0,A
864,27.6,95.7,4.3,100.0,A
868,17.3,87.5,5.3,96.0,A
869,19.6,76.0,7.0,100.0,A
870,29.1,92.6,1.0,100.0,A
871,13.8,77.4,6.7,90.2,A
872,9.4,100.0,6.6,95.8,A
876,27.6,86.1,8.2,100.0,A
878,16.6,94.2,5.8,99.1,A
879,14.9,75.6,7.6,96.2,A
880,23.3,84.4,6.9,100.0,A
881,32.7,81.8,5.3,100.0,A
884,22.3,85.6,6.2,100.0,A
885,19.8,87.6,6.5,90.1,A
886,27.9,96.3,6.2,100.0,A
888,12.5,73.1,6.4,100.0,A
890,22.8,79.9,5.0,90.3,A
891,20.7,92.7,6.0,100.0,A
892,18.6,78.7,5.5,100.0,A
893,22.5,93.6,8.5,100.0,A
894,23.2,84.2,8.2,100.0,A
895,24.7,76.6,7.7,92.6,A
896,19.5,96.5,6.9,94.2,A
898,16.0,79.2,9.0,90.2,A
899,23.4,87.4,4.1,100.0,A
901,17.6,78.6,2.5,100.0,A
904,23.9,72.9,5.6,100.0,A
906,15.3,87.0,1.6,97.9,A
908,20.2,100.0,7.2,100.0,A
910,30.1,81.8,2.9,100.0,A
911,12.8,77.0,6.2,90.3,A
912,16.5,81.7,5.4,100.0,A
914,26.0,73.8,8.9,100.0,A
916,17.0,75.6,4.4,100.0,A
917,19.3,87.4,3.0,96.3,A
921,22.5,80.7,6.6,100.0,A
925,23.4,89.3,5.1,98.9,A
929,26.0,88.0,8.8,100.0,A
932,28.2,91.5,5.1,100.0,A
935,18.1,87.1,9.5,91.9,A
938,20.0,68.2,6.2,100.0,A
939,16.7,98.6,7.4,97.6,A
940,11.1,80.3,6.4,92.1,A
942,21.1,76.8,8.1,100.0,A
943,19.6,70.4,6.3,100.0,A
945,27.9,87.7,8.7,100.0,A
949,14.7,83.8,5.3,90.8,A
954,25.1,92.8,4.8,100.0,A
956,22.8,68.9,7.1,100.0,A
957,17.4,97.6,1.8,98.9,A
958,18.2,91.0,8.1,99.1,A
960,18.1,91.5,5.3,94.7,A
961,19.5,70.3,8.5,100.0,A
962,24.3,95.4,3.9,100.0,A
964,20.0,80.8,4.7,100.0,A
965,14.4,96.9,5.3,95.9,A
966,25.1,80.3,4.4,100.0,A
968,27.6,87.4,3.4,100.0,A
969,14.7,75.3,3.0,91.3,A
971,15.9,91.3,6.8,100.0,A
980,20.3,100.0,6.6,95.8,A
981,20.5,78.1,3.7,98.3,A
982,18.0,69.7,6.6,100.0,A
984,14.7,95.3,8.7,95.2,A
985,15.0,86.3,2.8,92.5,A
987,25.5,88.4,8.0,100.0,A
988,21.1,86.6,7.6,100.0,A
989,13.5,80.5,5.5,91.6,A
991,16.5,50.0,6.0,98.9,A
997,27.6,92.9,6.5,100.0,A
998,19.5,70.2,5.5,91.7,A
1001,24.8,70.7,5.6,100.0,A
1002,21.5,96.1,6.0,96.3,A
1003,15.4,93.3,5.4,90.3,A
1005,19.9,87.4,7.1,100.0,A
1006,17.8,93.2,8.2,95.1,A
1007,21.3,83.7,4.1,100.0,A
1008,19.4,70.4,7.0,97.6,A
1009,22.3,72.9,6.5,100.0,A
1011,24.2,97.8,4.4,100.0,A
1012,16.4,92.7,6.9,94.5,A
1013,29.5,67.6,7.5,100.0,A
1015,27.2,83.8,4.2,100.0,A
1016,16.4,99.6,6.4,100.0,A
1020,18.0,73.6,2.6,100.0,A
1022,11.0,70.8,0.0,96.1,A
1024,30.0,80.3,3.6,100.0,A
1025,27.1,93.7,4.7,100.0,A
1026,18.1,82.9,3.5,96.4,A
1027,15.3,93.7,3.5,100.0,A
1028,15.8,77.8,8.9,100.0,A
1029,19.3,78.3,5.3,98.3,A
1033,17.8,100.0,5.3,93.1,A
1034,19.5,86.0,4.0,100.0,A
1036,26.0,70.0,6.1,100.0,A
1040,22.3,88.3,9.8,100.0,A
1041,26.8,82.3,6.1,100.0,A
1043,22.6,83.5,7.7,100.0,A
1044,14.7,94.2,4.1,100.0,A
1046,21.2,78.0,10.0,100.0,A
1047,19.6,96.3,4.6,100.0,A
1049,25.3,82.1,1.5,100.0,A
1050,24.7,84.9,7.9,100.0,A
1052,17.8,88.9,5.7,96.8,A
1053,18.5,79.7,8.1,98.7,A
1054,16.8,100.0,4.5,91.5,A
1058,23.2,94.7,3.1,100.0,A
1059,18.8,82.1,8.2,100.0,A
1061,20.4,83.7,3.3,90.0,A
1063,23.0,77.5,7.7,100.0,A
1065,12.5,79.1,4.9,95.7,A
1068,23.1,86.6,8.4,100.0,A
1071,14.7,77.4,6.6,93.2,A
1072,18.3,100.0,1.0,90.7,A
1075,22.0,94.7,6.8,91.5,A
1079,25.5,88.1,5.4,100.0,A
1080,21.0,87.2,6.5,99.2,A
1081,12.6,67.5,2.7,90.5,A
1084,29.5,62.3,7.7,100.0,A
1085,17.7,97.5,4.2,93.0,A
1086,18.0,78.2,6.0,96.6,A
1087,22.2,78.7,6.1,100.0,A
1088,16.7,95.4,7.5,93.1,A
1091,14.5,83.3,7.7,99.4,A
1092,14.7,94.9,4.5,99.4,A
1095,20.1,100.0,8.9,93.9,A
1099,21.4,100.0,5.3,100.0,A
1100,17.4,68.2,6.6,100.0,A
1101,22.0,77.3,9.4,100.0,A
1103,29.6,76.6,4.2,100.0,A
1105,22.8,74.6,6.9,100.0,A
1110,28.4,95.9,4.3,100.0,A
1111,13.7,88.6,5.7,91.6,A
1112,16.5,80.4,6.3,97.3,A
1113,21.1,90.5,3.4,100.0,A
1114,18.5,80.2,5.9,100.0,A
1115,16.1,75.1,6.5,98.2,A
1117,31.8,100.0,4.9,100.0,A
1120,22.4,90.7,8.7,100.0,A
1121,22.7,100.0,9.8,100.0,A
1122,23.3,97.4,6.3,100.0,A
1123,19.5,98.5,7.3,95.5,A
1125,26.4,91.1,5.4,98.0,A
1127,17.1,76.6,3.4,100.0,A
1129,14.6,81.9,8.0,98.0,A
1130,17.3,76.8,7.3,100.0,A
1131,17.2,85.0,9.5,93.7,A
1132,18.0,97.4,5.8,100.0,A
1133,26.3,84.8,3.9,100.0,A
1135,13.3,79.3,4.8,100.0,A
1136,21.7,83.5,4.3,100.0,A
1137,23.3,100.0,4.4,100.0,A
1139,19.2,77.6,2.0,100.0,A
1140,19.9,83.4,5.7,100.0,A
1142,24.6,72.8,4.9,100.0,A
1146,15.1,88.2,9.5,92.3,A
1149,26.2,77.9,5.8,100.0,A
1155,26.5,81.4,6.6,100.0,A
1156,22.1,82.3,5.7,100.0,A
1158,30.8,100.0,4.9,100.0,A
1159,21.9,85.9,4.3,95.0,A
1162,31.0,75.3,9.5,100.0,A
1165,22.2,85.9,5.9,100.0,A
1166,32.1,100.0,4.4,100.0,A
1167,24.7,83.0,7.4,100.0,A
1168,18.9,73.6,9.3,95.4,A
1169,19.2,76.3,8.9,100.0,A
1170,21.0,82.6,5.3,96.9,A
1178,14.3,68.9,7.1,98.7,A
1181,16.3,90.9,8.2,90.4,A
1182,24.7,72.3,6.3,100.0,A
1183,21.4,100.0,3.0,100.0,A
1185,8.1,83.5,1.1,92.4,A
1186,21.6,99.4,10.0,100.0,A
1189,18.9,90.2,5.1,100.0,A
1194,17.2,92.3,8.0,100.0,A
1196,18.1,74.9,7.0,100.0,A
1198,18.9,85.3,7.2,91.3,A
1199,16.6,91.9,4.4,99.5,A
1200,24.5,85.5,6.6,100.0,A
1203,15.9,86.1,6.6,98.7,A
1204,18.8,88.2,3.1,99.9,A
1206,15.3,94.5,10.0,100.0,A
1210,27.2,69.4,7.1,100.0,A
1214,21.3,71.8,6.3,100.0,A
1216,23.7,71.5,5.5,97.6,A
1220,30.0,82.2,2.9,100.0,A
1222,17.2,66.8,4.0,94.1,A
1223,19.4,69.8,6.4,100.0,A
1227,15.3,72.0,6.7,99.9,A
1229,21.7,71.2,4.1,100.0,A
1230,30.5,82.5,5.2,100.0,A
1234,33.1,66.0,7.9,100.0,A
1236,26.5,88.1,5.9,98.8,A
1237,26.7,89.2,5.9,100.0,A
1239,19.0,78.4,5.1,100.0,A
1240,26.4,74.4,5.0,100.0,A
1251,17.3,93.4,6.3,100.0,A
1252,20.8,90.3,9.5,100.0,A
1254,17.6,61.9,6.1,99.5,A
1255,23.6,97.3,4.9,96.5,A
1257,26.7,81.0,5.2,100.0,A
1261,18.9,66.1,10.0,91.5,A
1262,15.5,73.5,8.9,97.3,A
1263,18.8,71.4,4.3,93.9,A
1270,23.7,91.0,6.5,100.0,A
1271,22.6,98.0,6.0,100.0,A
1272,19.3,62.9,6.5,91.9,A
1275,23.5,86.4,6.7,100.0,A
1276,16.0,94.6,6.6,98.5,A
1277,31.2,92.7,7.2,100.0,A
1278,17.8,90.5,6.6,93.0,A
1282,13.9,82.8,10.0,91.8,A
1283,20.0,81.1,4.4,95.8,A
1284,21.7,80.9,5.1,100.0,A
1288,18.6,94.2,7.8,95.5,A
1291,17.7,86.2,8.9,94.8,A
1292,32.5,100.0,10.0,100.0,A
1294,20.9,78.6,4.6,100.0,A
1295,15.6,76.5,6.7,97.4,A
1297,21.4,77.1,5.5,98.7,A
1302,21.9,91.2,7.0,100.0,A
1308,14.9,83.5,6.3,93.0,A
1309,22.6,70.8,4.4,100.0,A
1310,18.3,73.8,7.4,95.3,A
1311,14.8,69.4,7.5,93.3,A
1312,20.7,87.1,7.9,91.6,A
1313,24.7,100.0,4.7,100.0,A
1314,18.9,75.2,7.9,100.0,A
1320,13.7,83.4,3.4,98.7,A
1322,18.7,86.3,1.9,95.3,A
1324,18.4,80.5,5.9,100.0,A
1330,19.2,85.1,4.4,100.0,A
1331,25.7,78.9,6.3,100.0,A
1332,23.5,96.4,5.4,100.0,A
1333,13.5,77.4,5.9,97.1,A
1334,25.4,68.5,5.1,100.0,A
1336,12.6,63.7,4.0,95.1,A
1338,12.9,88.6,4.7,91.0,A
1340,16.2,87.2,5.8,94.2,A
1341,16.1,89.6,5.9,97.5,A
1343,18.1,89.6,3.9,100.0,A
1344,23.3,62.7,3.9,100.0,A
1345,21.6,91.0,10.0,100.0,A
1350,13.4,88.2,8.4,94.3,A
1353,18.8,100.0,5.6,100.0,A
1362,19.1,83.8,2.9,98.8,A
1365,23.4,100.0,7.6,100.0,A
1366,13.9,83.0,2.8,100.0,A
1372,27.0,92.7,10.0,100.0,A
1375,25.3,72.9,4.5,100.0,A
1378,22.3,78.0,5.2,95.6,A
1380,27.8,89.7,4.4,100.0,A
1381,19.7,87.9,5.1,94.4,A
1382,11.6,91.0,7.0,98.7,A
1383,30.1,72.7,7.0,100.0,A
1385,20.2,91.0,4.9,100.0,A
1386,17.1,87.8,5.5,94.1,A
1387,24.1,71.3,3.9,100.0,A
1388,25.9,88.4,8.8,100.0,A
1391,18.2,84.6,5.2,93.0,A
1393,29.1,75.4,1.4,100.0,A
1394,16.0,79.7,7.7,100.0,A
1396,16.3,100.0,7.0,91.8,A
1399,23.4,88.8,0.6,95.6,A
1403,23.3,84.2,7.8,100.0,A
1404,20.0,90.9,5.5,100.0,A
1405,22.0,84.2,6.0,100.0,A
1408,25.5,74.8,5.6,100.0,A
1411,24.3,91.8,9.8,100.0,A
1412,18.9,88.8,5.7,99.5,A
1413,18.2,82.0,3.5,100.0,A
1414,30.2,76.2,7.1,100.0,A
1416,21.5,81.2,7.3,100.0,A
1418,16.9,67.8,8.0,90.4,A
1419,25.7,89.7,7.2,100.0,A
1420,18.6,81.2,5.6,91.9,A
1421,18.8,74.1,4.9,100.0,A
1422,22.5,90.8,4.1,100.0,A
1427,29.4,93.1,7.5,100.0,A
1431,17.2,83.6,3.9,96.4,A
1432,20.7,79.2,7.8,100.0,A
1433,21.0,78.9,9.1,94.8,A
1436,17.0,76.4,4.3,93.1,A
1437,13.3,83.3,7.7,100.0,A
1438,26.3,91.1,4.1,100.0,A
1440,20.1,81.6,5.4,95.8,A
1441,19.6,87.7,7.2,97.0,A
1442,23.2,89.9,1.7,100.0,A
1445,17.8,90.4,3.7,93.0,A
1448,19.1,81.6,6.7,100.0,A
1449,23.7,82.8,4.6,92.5,A
1452,26.9,92.5,5.2,93.9,A
1454,33.2,70.7,4.5,100.0,A
1455,19.0,79.9,7.7,100.0,A
1457,20.3,93.5,4.9,100.0,A
1458,17.7,84.8,8.6,92.2,A
1459,24.0,83.5,3.3,100.0,A
