customer_id,customer_name,age,gender,country,customer_segment,signup_date
44,Customer_00044,45.0,Male,Saudi Arabia,Standard,2024-01-24
45,Customer_00045,56.0,Male,Pakistan,Standard,2023-03-16
46,Customer_00046,35.0,Other,India,Premium,2025-11-29
47,Customer_00047,55.0,Male,Saudi Arabia,Budget,2024-05-03
48,Customer_00048,48.0,Female,India,Standard,2025-09-05
49,Customer_00049,32.0,Male,Germany,Standard,2025-01-12
50,Customer_00050,61.0,Other,Saudi Arabia,VIP,2025-05-03
51,Customer_00051,38.0,Male,Pakistan,Premium,2025-04-12
52,Customer_00052,25.0,Male,Pakistan,Premium,2023-08-02
53,Customer_00053,64.0,Female,Saudi Arabia,Standard,2024-02-03
54,Customer_00054,61.0,Male,India,Standard,2024-05-26
55,Customer_00055,20.0,Female,USA,Premium,2024-06-29
56,Customer_00056,61.0,Male,Pakistan,Premium,2023-02-18
57,Customer_00057,63.0,Female,Pakistan,Premium,2024-08-22
58,Customer_00058,57.0,Female,India,Premium,2023-06-19
59,Customer_00059,30.0,Female,UK,Premium,2025-03-25
60,Customer_00060,48.0,Male,Germany,Budget,2025-01-18
61,Customer_00061,43.0,Male,USA,Budget,2025-10-08
62,Customer_00062,47.0,Male,India,VIP,2025-03-27
63,Customer_00063,47.0,Male,USA,Standard,2024-02-06
64,Customer_00064,48.0,Male,Pakistan,Budget,2025-11-26
65,Customer_00065,42.0,Female,UAE,Standard,2024-03-26
66,Customer_00066,51.0,Female,Canada,Standard,2023-12-24
67,Customer_00067,43.0,Female,India,Premium,2025-09-19
68,Customer_00068,18.0,Male,Germany,Premium,2024-02-11
69,Customer_00069,19.0,Male,Pakistan,Budget,2023-03-25
70,Customer_00070,63.0,Female,Pakistan,Standard,2024-05-29
71,Customer_00071,61.0,Male,UAE,Budget,2025-05-22
72,Customer_00072,46.0,Male,Canada,Premium,2023-07-27
73,Customer_00073,26.0,Male,Pakistan,Budget,2024-05-22
74,Customer_00074,55.0,Female,USA,Standard,2023-05-23
75,Customer_00075,24.0,Other,Pakistan,Standard,2025-01-22
76,Customer_00076,36.0,Male,UK,Standard,2024-06-05
77,Customer_00077,33.0,Male,UAE,Standard,2023-12-28
78,Customer_00078,18.0,Male,Pakistan,Standard,2023-09-06
79,Customer_00079,56.0,Male,Saudi Arabia,Standard,2024-09-10
80,Customer_00080,42.0,Female,Saudi Arabia,Budget,2025-01-04
81,Customer_00081,33.0,Male,UAE,Standard,2025-10-27
82,Customer_00082,42.0,Female,Pakistan,Standard,2024-04-24
83,Customer_00083,18.0,Male,Pakistan,Standard,2023-06-26
84,Customer_00084,38.0,Male,Germany,Premium,2025-07-01
85,Customer_00085,42.0,Female,Saudi Arabia,Standard,2024-11-21
86,Customer_00086,34.0,Male,USA,Premium,2025-02-06
87,Customer_00087,57.0,Female,Saudi Arabia,Budget,2023-04-17
88,Customer_00088,29.0,Male,USA,Premium,2023-12-09
89,Customer_00089,24.0,Female,Pakistan,Budget,2025-04-21
90,Customer_00090,43.0,Male,India,Standard,2025-07-01
91,Customer_00091,60.0,Male, pakistan ,Standard,2024-04-21
92,Customer_00092,36.0,Female,Pakistan,Standard,2025-06-01
93,Customer_00093,20.0,Male,Pakistan,Budget,2025-07-11
94,Customer_00094,64.0,Male,Saudi Arabia,Premium,2024-02-29
95,Customer_00095,39.0,Other,USA,Standard,2025-09-11
96,Customer_00096,26.0,Female,Saudi Arabia,VIP,2023-11-13
97,Customer_00097,47.0,Female,Pakistan,Standard,2023-09-20
98,Customer_00098,33.0,Female, pakistan ,Standard,2025-01-18
99,Customer_00099,63.0,Female,Pakistan,,2024-11-28
100,Customer_00100,32.0,Female,Pakistan,Budget,2023-06-03
101,Customer_00101,,Female,Germany,Standard,2025-07-01
102,Customer_00102,44.0,Male,UK,Standard,2023-08-08
103,Customer_00103,29.0,Male,Canada,Premium,2025-06-01
104,Customer_00104,41.0,Female,USA,Budget,2023-01-09
105,Customer_00105,23.0,Female,Saudi Arabia,Standard,2025-05-23
106,Customer_00106,48.0,Male,Pakistan,Standard,2025-05-12
107,Customer_00107,54.0,Male,Pakistan,Standard,2025-05-05
108,Customer_00108,63.0,Male,Canada,Budget,2024-12-29
109,Customer_00109,33.0,Female,USA,Standard,2024-05-31
110,Customer_00110,31.0,Female,India,Premium,2025-02-11
111,Customer_00111,44.0,Male,India,Budget,2023-10-31
112,Customer_00112,51.0,Female,Pakistan,Standard,2025-05-05
113,Customer_00113,65.0,Female,Pakistan,VIP,2024-08-31
114,Customer_00114,19.0,Female,USA,Premium,2024-05-17
115,Customer_00115,29.0,Male,Pakistan,Budget,2024-07-08
116,Customer_00116,30.0,Female,India,Standard,2024-09-15
117,Customer_00117,30.0,Female,Canada,Budget,2023-02-10
118,Customer_00118,40.0,Female,UAE,Premium,2023-06-03
119,Customer_00119,59.0,Male,India,Standard,2023-09-27
120,Customer_00120,19.0,Female,Pakistan,Standard,2023-05-06
121,Customer_00121,57.0,Female,Pakistan,Budget,2024-04-26
122,Customer_00122,47.0,Male,Pakistan,Standard,2025-01-02
123,Customer_00123,47.0,Male,Pakistan,Budget,2024-12-18
124,Customer_00124,50.0,Female,Pakistan,Premium,2024-05-31
125,Customer_00125,23.0,Female,Pakistan,Standard,2025-07-26
126,Customer_00126,53.0,Male,Pakistan,Standard,2024-09-11
127,Customer_00127,29.0,Male,Pakistan,Premium,2023-03-28
128,Customer_00128,42.0,Male,Germany,Budget,2025-04-18
129,Customer_00129,50.0,Female,Pakistan,Budget,2024-09-21
130,Customer_00130,46.0,Female,India,Standard,2024-11-26
131,Customer_00131,33.0,Male,USA,Premium,2024-09-11
132,Customer_00132,37.0,Male,Pakistan,Budget,2024-08-29
133,Customer_00133,40.0,Male,India,Premium,2023-04-10
134,Customer_00134,19.0,Male,USA,Standard,2024-09-04
135,Customer_00135,52.0,Female,UAE,Standard,2025-05-21
136,Customer_00136,22.0,Female,Pakistan,Standard,2023-11-30
137,Customer_00137,40.0,Male,UK,Budget,2024-10-22
138,Customer_00138,49.0,Male,Saudi Arabia,Budget,2023-02-03
139,Customer_00139,21.0,Male,India,Premium,2024-01-16
140,Customer_00140,65.0,Female,Pakistan,Standard,2024-04-23
141,Customer_00141,36.0,Female,Pakistan,Standard,2025-12-13
142,Customer_00142,18.0,Female,USA,VIP,2023-08-24
143,Customer_00143,49.0,Male,Pakistan,Budget,2023-10-31
144,Customer_00144,44.0,Female,Pakistan,Standard,2024-03-23
145,Customer_00145,48.0,Male,UAE,Standard,2025-12-23
146,Customer_00146,54.0,Female,Canada,Budget,2025-07-24
147,Customer_00147,40.0,Female,Pakistan,VIP,2023-02-08
148,Customer_00148,57.0,Male,Pakistan,VIP,2023-09-14
149,Customer_00149,35.0,Female,India,Standard,2025-06-19
150,Customer_00150,44.0,Male,Saudi Arabia,VIP,2023-03-05
151,Customer_00151,25.0,Female,India,Budget,2025-07-26
152,Customer_00152,47.0,Male,Canada,VIP,2023-11-05
153,Customer_00153,30.0,Male,Pakistan,Premium,2025-10-02
154,Customer_00154,51.0,Male,India,Budget,2023-11-18
155,Customer_00155,56.0,Male,India,Standard,2024-04-21
156,Customer_00156,59.0,Male,India,Premium,2024-12-26
157,Customer_00157,62.0,Male,India,Standard,2023-05-19
158,Customer_00158,23.0,Female,USA,Standard,2024-09-02
159,Customer_00159,24.0,Male,Pakistan,,2024-07-07
160,Customer_00160,62.0,Male,UK,Budget,2025-05-09
161,Customer_00161,36.0,Other,Pakistan,Budget,2025-12-27
162,Customer_00162,19.0,Female,UAE,,2024-12-29
163,Customer_00163,31.0,Male,India,Premium,2024-03-24
164,Customer_00164,58.0,Male, pakistan ,Standard,2024-03-21
165,Customer_00165,35.0,Female,Pakistan,Standard,2024-04-03
166,Customer_00166,21.0,Female,Germany,Budget,2025-06-11
167,Customer_00167,52.0,Male,Canada,Budget,2023-12-19
168,Customer_00168,27.0,Female,USA,Standard,2023-07-03
169,Customer_00169,34.0,Male,Canada,Budget,2024-01-02
170,Customer_00170,18.0,Male,Pakistan,,2023-01-25
171,Customer_00171,46.0,Female,UAE,Standard,2023-04-27
172,Customer_00172,39.0,Female,Pakistan,Standard,2023-04-09
173,Customer_00173,59.0,Female,USA,Standard,2025-04-25
174,Customer_00174,34.0,Male,Pakistan,Premium,2025-03-02
175,Customer_00175,27.0,Male,Pakistan,Budget,2025-02-02
176,Customer_00176,25.0,Male,Saudi Arabia,Premium,2024-05-21
177,Customer_00177,27.0,Male,Pakistan,Budget,2025-02-24
178,Customer_00178,39.0,Male,UK,Budget,2023-06-26
179,Customer_00179,22.0,Female,Pakistan,Standard,2025-09-14
180,Customer_00180,37.0,Female,Saudi Arabia,Budget,2024-07-03
181,Customer_00181,59.0,Female,USA,Standard,2025-10-25
182,Customer_00182,54.0,Male,UAE,Premium,2023-06-16
183,Customer_00183,48.0,Male,Pakistan,Premium,2024-06-29
184,Customer_00184,60.0,Female,Pakistan,Standard,2025-02-02
185,Customer_00185,55.0,Male,Pakistan,VIP,2024-06-27
186,Customer_00186,49.0,Female,Pakistan,Standard,2024-05-03
187,Customer_00187,59.0,Male,UAE,Budget,2023-07-02
188,Customer_00188,23.0,Female,India,Premium,2024-02-22
189,Customer_00189,57.0,Female,Pakistan,Budget,2023-09-19
190,Customer_00190,32.0,Female,Pakistan,Budget,2023-11-27
191,Customer_00191,53.0,Female,Canada,Budget,2025-01-19
192,Customer_00192,61.0,Female,Pakistan,Standard,2024-11-21
193,Customer_00193,41.0,Male,Pakistan,Standard,2024-10-27
194,Customer_00194,22.0,Female,India,Standard,2024-02-01
195,Customer_00195,35.0,Female,Pakistan,Standard,2025-11-17
196,Customer_00196,37.0,Female,Canada,Premium,2023-04-07
197,Customer_00197,62.0,Male,Pakistan,Premium,2024-01-11
198,Customer_00198,63.0,Male,Saudi Arabia,Budget,2023-05-10
199,Customer_00199,45.0,Female,Saudi Arabia,Budget,2024-01-07
200,Customer_00200,63.0,Female,USA,Standard,2025-11-20
201,Customer_00201,38.0,Male,Saudi Arabia,Budget,2024-02-06
202,Customer_00202,37.0,Male,UK,Standard,2025-09-22
203,Customer_00203,58.0,Male,India,Standard,2024-06-26
204,Customer_00204,50.0,Male, pakistan ,Premium,2025-02-05
205,Customer_00205,43.0,Male,Saudi Arabia,Budget,2024-05-16
206,Customer_00206,39.0,Male,UAE,Standard,2023-10-19
207,Customer_00207,51.0,Male,UAE,Standard,2025-04-17
208,Customer_00208,54.0,Female,Pakistan,Premium,2025-11-28
209,Customer_00209,41.0,Male,Pakistan,Standard,2023-10-16
210,Customer_00210,19.0,Male,India,Premium,2025-05-03
211,Customer_00211,22.0,Male,Pakistan,Premium,2023-10-14
212,Customer_00212,24.0,Male,India,Budget,2025-02-24
213,Customer_00213,40.0,Female,Pakistan,Standard,2025-05-14
214,Customer_00214,47.0,Female,UAE,Standard,2024-05-07
215,Customer_00215,56.0,Male,Saudi Arabia,Budget,2025-03-18
216,Customer_00216,29.0,Male,UAE,Standard,2023-10-26
217,Customer_00217,55.0,Male,Saudi Arabia,Standard,2023-03-28
218,Customer_00218,49.0,Male,Pakistan,Premium,2023-04-16
219,Customer_00219,20.0,Male,Pakistan,Budget,2024-05-04
220,Customer_00220,34.0,Male,Saudi Arabia,Standard,2025-09-16
221,Customer_00221,32.0,Male,USA,Budget,2023-05-20
222,Customer_00222,60.0,Female,Saudi Arabia,Standard,2024-05-14
223,Customer_00223,62.0,Male,Saudi Arabia,Standard,2025-02-10
224,Customer_00224,57.0,Male,Saudi Arabia,Standard,2023-08-10
225,Customer_00225,43.0,Male,UK,Standard,2025-03-01
226,Customer_00226,41.0,Male,UK,Standard,2023-12-02
227,Customer_00227,32.0,Male,UK,Standard,2025-06-05
228,Customer_00228,55.0,Male,Pakistan,Premium,2024-09-26
229,Customer_00229,22.0,Male,Pakistan,Budget,2024-08-22
230,Customer_00230,31.0,Male,India,Premium,2023-07-13
231,Customer_00231,24.0,Female,UAE,Standard,2024-05-22
232,Customer_00232,41.0,Female,UK,Premium,2025-07-27
233,Customer_00233,32.0,Male,Pakistan,Budget,2023-01-22
234,Customer_00234,27.0,Male,Pakistan,,2025-04-11
235,Customer_00235,36.0,Female,UK,Budget,2024-06-24
236,Customer_00236,59.0,Female,Pakistan,Premium,2025-02-27
237,Customer_00237,44.0,Male,USA,Standard,2024-12-27
238,Customer_00238,57.0,Male,Pakistan,Standard,2024-04-18
239,Customer_00239,61.0,Male,India,Premium,2023-12-05
240,Customer_00240,61.0,Female,India,Budget,2024-11-18
241,Customer_00241,34.0,Male,Pakistan,Standard,2023-06-03
242,Customer_00242,60.0,Male,Pakistan,Premium,2024-10-02
243,Customer_00243,61.0,Male,Pakistan,Budget,2023-04-14
244,Customer_00244,64.0,Male,Pakistan,VIP,2024-12-13
245,Customer_00245,34.0,Male,Pakistan,Premium,2024-11-20
246,Customer_00246,28.0,Female,UK,VIP,2023-04-03
247,Customer_00247,46.0,Female,Pakistan,Premium,2025-04-10
248,Customer_00248,62.0,Male,India,Budget,2024-03-31
249,Customer_00249,61.0,Male,Pakistan,Standard,2025-05-12
250,Customer_00250,45.0,Female,Canada,Budget,2023-02-15
251,Customer_00251,25.0,Male,USA,Premium,2023-07-16
252,Customer_00252,38.0,Male,Germany,Budget,2024-06-25
253,Customer_00253,52.0,Male,Canada,,2023-07-26
254,Customer_00254,44.0,Female,Pakistan,Budget,2023-12-28
255,Customer_00255,34.0,Female,Saudi Arabia,Budget,2024-12-25
256,Customer_00256,34.0,Female,Pakistan,Budget,2023-06-08
257,Customer_00257,20.0,Female,USA,Standard,2025-01-12
258,Customer_00258,31.0,Male,India,Budget,2023-04-24
259,Customer_00259,50.0,Male,India,Budget,2023-07-12
260,Customer_00260,29.0,Male,Canada,Budget,2024-10-06
261,Customer_00261,65.0,Female,USA,Standard,2025-05-19
262,Customer_00262,21.0,Female,Germany,VIP,2023-07-06
263,Customer_00263,46.0,Male,Pakistan,Standard,2023-11-25
264,Customer_00264,41.0,Female,Pakistan,Budget,2025-10-10
265,Customer_00265,57.0,Male,Pakistan,Budget,2025-12-20
266,Customer_00266,60.0,Male,India,Budget,2024-09-28
267,Customer_00267,44.0,Male,India,Standard,2024-05-04
268,Customer_00268,48.0,Female,Pakistan,Budget,2024-01-16
269,Customer_00269,51.0,Female,USA,Budget,2024-11-02
270,Customer_00270,43.0,Female,Pakistan,Budget,2024-10-09
271,Customer_00271,26.0,Female,Saudi Arabia,Standard,2023-11-20
272,Customer_00272,38.0,Female,USA,Premium,2023-01-25
273,Customer_00273,29.0,Female,UAE,Budget,2023-06-16
274,Customer_00274,40.0,Female,India,Standard,2025-11-16
275,Customer_00275,47.0,Male,Pakistan,Standard,2024-04-03
276,Customer_00276,28.0,Female,Pakistan,Premium,2024-06-12
277,Customer_00277,29.0,Female,UK,Budget,2024-05-26
278,Customer_00278,57.0,Female,India,Premium,2025-05-07
279,Customer_00279,36.0,Male,Pakistan,Premium,2023-03-13
280,Customer_00280,27.0,Female,Germany,VIP,2023-04-01
281,Customer_00281,52.0,Female,Saudi Arabia,Premium,2023-10-30
282,Customer_00282,52.0,Male,USA,Budget,2024-06-17
283,Customer_00283,57.0,Other,India,VIP,2025-01-05
284,Customer_00284,54.0,Male,Germany,Premium,2024-06-21
285,Customer_00285,65.0,Male,Pakistan,Budget,2024-04-28
286,Customer_00286,45.0,Male,Pakistan,Budget,2025-10-24
287,Customer_00287,31.0,Female,Canada,Premium,2023-06-26
288,Customer_00288,59.0,Female,Canada,Budget,2024-09-18
289,Customer_00289,30.0,Male,India,Premium,2024-08-17
290,Customer_00290,31.0,Female,Pakistan,Standard,2024-06-02
291,Customer_00291,57.0,Male,Pakistan,Premium,2025-06-04
292,Customer_00292,60.0,Male,UK,Budget,2023-10-20
293,Customer_00293,34.0,Female,USA,Premium,2025-11-11
294,Customer_00294,53.0,Female,India,Standard,2023-12-30
295,Customer_00295,62.0,Female,Pakistan,Premium,2024-08-20
296,Customer_00296,56.0,Female,Saudi Arabia,Budget,2024-07-24
297,Customer_00297,18.0,Other,UK,Budget,2025-07-20
298,Customer_00298,49.0,Male,India,Budget,2024-04-26
299,Customer_00299,26.0,Male,UAE,Budget,2023-11-08
300,Customer_00300,58.0,Male,Germany,VIP,2023-01-24
301,Customer_00301,21.0,Female,Pakistan,Budget,2024-02-03
302,Customer_00302,65.0,Female,UAE,Budget,2025-06-24
303,Customer_00303,26.0,Female,UAE,Premium,2023-01-11
304,Customer_00304,38.0,Male,UAE,Budget,2025-09-09
305,Customer_00305,29.0,Male,USA,Budget,2024-08-17
306,Customer_00306,57.0,Female,UAE,Standard,2023-06-03
307,Customer_00307,36.0,Other,UAE,Standard,2023-11-28
308,Customer_00308,53.0,Male,PAKISTAN,Premium,2024-08-30
309,Customer_00309,21.0,Male,Saudi Arabia,Standard,2023-12-12
310,Customer_00310,39.0,Male,Pakistan,Budget,2023-04-29
311,Customer_00311,61.0,Male,Pakistan,Standard,2024-12-30
312,Customer_00312,62.0,Male,India,Premium,2025-01-06
313,Customer_00313,28.0,Male,UAE,Standard,2023-05-11
314,Customer_00314,36.0,Female,Germany,Premium,2023-11-05
315,Customer_00315,37.0,Male,Saudi Arabia,Standard,2023-09-25
316,Customer_00316,45.0,Male,USA,Standard,2024-12-23
317,Customer_00317,43.0,Male,India,,2025-03-11
318,Customer_00318,23.0,Female,UAE,Budget,2025-03-07
319,Customer_00319,54.0,Male,Germany,Standard,2025-10-25
320,Customer_00320,28.0,Male,India,Budget,2025-04-22
321,Customer_00321,33.0,Male,USA,Premium,2023-12-18
322,Customer_00322,58.0,Female,UAE,Standard,2023-04-29
323,Customer_00323,,Female,Pakistan,Standard,2024-11-04
324,Customer_00324,37.0,Male,UAE,Budget,2025-09-30
325,Customer_00325,61.0,Male,Pakistan,Premium,2025-12-04
326,Customer_00326,36.0,Male,Pakistan,Standard,2023-09-10
327,Customer_00327,45.0,Female,Pakistan,Budget,2023-09-17
328,Customer_00328,29.0,Female,Pakistan,Budget,2023-02-11
329,Customer_00329,26.0,Male,India,Standard,2023-06-04
330,Customer_00330,41.0,Male,USA,Budget,2024-08-31
331,Customer_00331,45.0,Female,India,Premium,2024-08-22
332,Customer_00332,56.0,Female,USA,Standard,2024-02-11
333,Customer_00333,36.0,Male,UAE,Budget,2023-12-06
334,Customer_00334,60.0,Male,Pakistan,Standard,2025-06-28
335,Customer_00335,47.0,Male,Pakistan,Budget,2024-05-19
336,Customer_00336,21.0,Female,Canada,Budget,2025-06-04
337,Customer_00337,53.0,Female,UAE,Standard,2025-11-21
338,Customer_00338,45.0,Female,Canada,Budget,2023-12-14
339,Customer_00339,36.0,Female,Pakistan,Premium,2023-08-11
340,Customer_00340,40.0,Male,Saudi Arabia,Standard,2025-11-10
341,Customer_00341,32.0,Male,UK,Budget,2024-11-26
342,Customer_00342,47.0,Male,Germany,VIP,2023-11-15
343,Customer_00343,45.0,Female,Pakistan,Standard,2024-11-12
344,Customer_00344,,Female,Germany,Budget,2024-07-18
345,Customer_00345,31.0,Male,India,Standard,2025-09-19
346,Customer_00346,37.0,Male,USA,VIP,2023-10-08
347,Customer_00347,,Female,India ,Standard,2025-12-22
348,Customer_00348,40.0,Female,UAE,Standard,2025-10-22
349,Customer_00349,32.0,Female,India,Standard,2023-07-18
350,Customer_00350,45.0,Male,India ,Budget,2023-06-30
351,Customer_00351,28.0,Female,Pakistan,Budget,2024-08-07
352,Customer_00352,42.0,Female,India,Standard,2023-02-19
353,Customer_00353,23.0,Female,UAE,Premium,2023-11-24
354,Customer_00354,40.0,Female,UK,Premium,2024-04-21
355,Customer_00355,55.0,Female,India,Budget,2025-11-28
356,Customer_00356,57.0,Female,Saudi Arabia,Standard,2025-12-23
357,Customer_00357,51.0,Female,India,Budget,2023-06-16
358,Customer_00358,53.0,Male,Saudi Arabia,Standard,2025-09-04
359,Customer_00359,21.0,Male,Saudi Arabia,Standard,2023-04-10
360,Customer_00360,34.0,Female,Saudi Arabia,Budget,2025-03-31
361,Customer_00361,49.0,Female,USA,Premium,2025-07-15
362,Customer_00362,56.0,Male,PAKISTAN,Standard,2025-09-03
363,Customer_00363,45.0,Male,Pakistan,Standard,2023-09-02
364,Customer_00364,58.0,Female,Saudi Arabia,Premium,2025-09-06
365,Customer_00365,31.0,Female,Pakistan,Standard,2023-05-08
366,Customer_00366,25.0,Female,Pakistan,Premium,2024-07-22
367,Customer_00367,22.0,Male,USA,Premium,2024-05-29
368,Customer_00368,45.0,Female,India,Standard,2023-12-13
369,Customer_00369,49.0,Female,India,Budget,2023-01-25
370,Customer_00370,31.0,Male,Germany,Budget,2025-04-26
371,Customer_00371,55.0,Male,Pakistan,Premium,2024-01-03
372,Customer_00372,53.0,Other,Pakistan,Budget,2024-12-26
373,Customer_00373,35.0,Male,Pakistan,VIP,2024-03-25
374,Customer_00374,29.0,Female,Pakistan,Standard,2024-02-14
375,Customer_00375,53.0,Female,UK,Premium,2025-08-29
376,Customer_00376,50.0,Female,UK,Standard,2023-04-14
377,Customer_00377,26.0,Male,UAE,VIP,2025-03-18
378,Customer_00378,30.0,Female,Pakistan,Budget,2025-03-29
379,Customer_00379,41.0,Male,UAE,Standard,2024-02-21
380,Customer_00380,42.0,Female,Pakistan,Premium,2023-10-15
381,Customer_00381,25.0,Male,Saudi Arabia,Budget,2023-01-06
382,Customer_00382,63.0,Female,UAE,Budget,2025-10-23
383,Customer_00383,36.0,Female,Pakistan,Premium,2025-11-04
384,Customer_00384,36.0,Male,USA,Premium,2023-09-22
385,Customer_00385,20.0,Male,UK,Budget,2023-02-04
386,Customer_00386,60.0,Female,Pakistan,Standard,2023-05-15
387,Customer_00387,29.0,Male,Saudi Arabia,Budget,2023-03-16
388,Customer_00388,65.0,Male,UAE,Budget,2025-06-29
389,Customer_00389,41.0,Male,Pakistan,Standard,2025-09-04
390,Customer_00390,59.0,Female,Pakistan,Budget,2023-06-17
391,Customer_00391,,Female,Saudi Arabia,Standard,2025-03-29
392,Customer_00392,25.0,Male,Canada,Budget,2023-07-16
393,Customer_00393,,Female,UAE,Premium,2024-02-07
394,Customer_00394,57.0,Male,UAE,Standard,2024-10-18
395,Customer_00395,44.0,Male,Saudi Arabia,Budget,2025-02-28
396,Customer_00396,19.0,Male,India,Premium,2025-08-16
397,Customer_00397,63.0,Male,Pakistan,Premium,2023-02-19
398,Customer_00398,36.0,Male,India,Budget,2023-08-04
399,Customer_00399,62.0,Female,Canada,VIP,2023-11-04
400,Customer_00400,59.0,Male,USA,Budget,2023-12-07
401,Customer_00401,58.0,Female,Canada,Budget,2025-12-29
402,Customer_00402,51.0,Male,Pakistan,Standard,2025-05-02
403,Customer_00403,50.0,Male,UAE,Budget,2023-12-18
404,Customer_00404,43.0,Male,PAKISTAN,Standard,2025-12-01
405,Customer_00405,19.0,Female,Pakistan,Standard,2024-07-01
406,Customer_00406,36.0,Female,Pakistan,Premium,2024-07-02
407,Customer_00407,53.0,Male,UK,Budget,2024-04-20
408,Customer_00408,56.0,Male,Saudi Arabia,Budget,2023-06-07
409,Customer_00409,44.0,Male, pakistan ,Standard,2025-10-21
410,Customer_00410,52.0,Female,Pakistan,,2023-01-16
411,Customer_00411,19.0,Male,UAE,VIP,2023-07-11
412,Customer_00412,40.0,Female,Pakistan,Standard,2023-09-09
413,Customer_00413,42.0,Male,Pakistan,Premium,2023-11-03
414,Customer_00414,60.0,Male,UAE,Premium,2023-05-25
415,Customer_00415,32.0,Female,Pakistan,Budget,2023-01-20
416,Customer_00416,29.0,Male,Germany,Budget,2025-01-12
417,Customer_00417,34.0,Male,India,Standard,2025-11-28
418,Customer_00418,26.0,Female,Pakistan,Premium,2023-05-14
419,Customer_00419,44.0,Male,Pakistan,Standard,2023-11-22
420,Customer_00420,48.0,Male,UK,Budget,2024-07-08
421,Customer_00421,56.0,Male,Pakistan,Standard,2025-10-13
422,Customer_00422,64.0,Male,Pakistan,Budget,2025-01-30
423,Customer_00423,21.0,Female,India,Standard,2025-04-19
424,Customer_00424,29.0,Male,Pakistan,Budget,2024-09-28
425,Customer_00425,32.0,Female,UAE,Standard,2024-04-02
426,Customer_00426,29.0,Female,India,Standard,2023-08-07
427,Customer_00427,57.0,Female,Pakistan,Premium,2025-08-05
428,Customer_00428,24.0,Female,UK,Premium,2025-05-31
429,Customer_00429,19.0,Female,India,Budget,2023-01-28
430,Customer_00430,59.0,Female,UAE,Premium,2025-02-23
431,Customer_00431,,Male,Pakistan,Premium,2023-04-03
432,Customer_00432,,Male,Saudi Arabia,Standard,2025-03-20
433,Customer_00433,33.0,Female,Pakistan,Premium,2025-06-24
434,Customer_00434,42.0,Male,India,Premium,2023-05-24
435,Customer_00435,43.0,Female,Pakistan,Budget,2024-04-20
436,Customer_00436,65.0,Male,Germany,Standard,2023-05-16
437,Customer_00437,37.0,Female,Pakistan,Standard,2024-09-13
438,Customer_00438,18.0,Male,Canada,Standard,2025-10-13
439,Customer_00439,38.0,Female,Canada,VIP,2023-03-30
