student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade,performance_category,study_efficiency
334815,0.1,90.0,7.4,20.7,F,Needs Improvement,206.99999999999997
352090,0.0,95.4,4.7,20.9,F,Needs Improvement,0.0
988699,0.0,93.0,5.2,20.9,F,Needs Improvement,0.0
794747,1.2,85.8,8.3,21.0,F,Needs Improvement,17.5
917233,0.0,87.0,6.0,21.0,F,Needs Improvement,0.0
949199,3.3,78.2,6.1,21.0,F,Needs Improvement,6.363636363636364
87423,0.0,90.9,7.8,21.1,F,Needs Improvement,0.0
330565,0.0,87.0,4.2,21.1,F,Needs Improvement,0.0
317014,0.0,76.9,4.5,21.2,F,Needs Improvement,0.0
965458,1.7,85.0,6.3,21.2,F,Needs Improvement,12.470588235294118
639397,0.5,100.0,7.4,21.4,F,Needs Improvement,42.8
796250,0.0,89.5,6.6,21.4,F,Needs Improvement,0.0
76094,0.1,87.7,2.5,21.6,F,Needs Improvement,216.0
180144,0.5,100.0,6.6,21.6,F,Needs Improvement,43.2
745891,0.0,91.5,4.7,21.6,F,Needs Improvement,0.0
988239,6.6,78.4,6.5,21.6,F,Needs Improvement,3.272727272727273
129223,0.0,98.5,4.4,21.7,F,Needs Improvement,0.0
435522,0.2,67.1,3.2,21.8,F,Needs Improvement,109.0
646355,0.0,83.3,1.5,21.8,F,Needs Improvement,0.0
775274,0.0,78.4,7.9,21.8,F,Needs Improvement,0.0
89919,0.0,94.9,3.8,21.9,F,Needs Improvement,0.0
777455,0.0,76.2,7.5,21.9,F,Needs Improvement,0.0
903189,0.0,67.3,0.1,21.9,F,Needs Improvement,0.0
72429,0.5,69.7,0.8,22.0,F,Needs Improvement,44.0
180151,0.0,80.8,6.4,22.0,F,Needs Improvement,0.0
751020,0.0,88.9,5.2,22.0,F,Needs Improvement,0.0
827133,4.5,86.6,6.5,22.0,F,Needs Improvement,4.888888888888889
590999,0.0,86.5,4.3,22.1,F,Needs Improvement,0.0
679470,0.0,92.9,6.2,22.2,F,Needs Improvement,0.0
344973,3.4,100.0,3.3,22.3,F,Needs Improvement,6.558823529411765
392062,0.0,83.4,6.6,22.3,F,Needs Improvement,0.0
411824,0.0,71.6,4.7,22.3,F,Needs Improvement,0.0
846155,0.0,84.8,5.8,22.3,F,Needs Improvement,0.0
263438,0.0,89.9,5.6,22.4,F,Needs Improvement,0.0
971561,0.0,79.0,5.2,22.5,F,Needs Improvement,0.0
51671,6.2,97.6,6.0,22.6,F,Needs Improvement,3.645161290322581
312263,0.0,90.3,10.0,22.6,F,Needs Improvement,0.0
342896,0.0,93.7,7.1,22.6,F,Needs Improvement,0.0
406932,0.0,100.0,6.2,22.6,F,Needs Improvement,0.0
489522,0.0,100.0,8.1,22.6,F,Needs Improvement,0.0
894380,0.0,76.6,9.7,22.6,F,Needs Improvement,0.0
203484,1.7,100.0,6.1,22.7,F,Needs Improvement,13.352941176470589
380863,0.0,86.8,4.9,22.7,F,Needs Improvement,0.0
408516,0.0,76.7,9.8,22.7,F,Needs Improvement,0.0
762828,0.0,90.7,8.7,22.7,F,Needs Improvement,0.0
602724,6.6,74.3,7.4,22.8,F,Needs Improvement,3.454545454545455
951664,1.9,78.9,5.1,22.8,F,Needs Improvement,12.000000000000002
96711,0.0,90.0,7.0,22.9,F,Needs Improvement,0.0
444443,2.1,96.8,6.6,22.9,F,Needs Improvement,10.904761904761903
712703,0.0,95.1,6.8,22.9,F,Needs Improvement,0.0
124540,0.6,78.4,6.5,23.0,F,Needs Improvement,38.333333333333336
516035,0.6,80.3,7.4,23.0,F,Needs Improvement,38.333333333333336
869053,0.0,77.3,6.7,23.0,F,Needs Improvement,0.0
67327,0.8,94.9,6.8,23.1,F,Needs Improvement,28.875
284396,1.8,54.3,4.8,23.1,F,Needs Improvement,12.833333333333334
