Year,Country,Sector,Expenditure_USD_Million,GDP_Percentage,Expenditure_GDP_Ratio,Spending_Tier,GDP_Contribution,Decade,Growth_Indicator
2000,Ireland,Total function,30631.314,30.64396,999.5547,Moderate Spender,Critical,2000,Not Calculated
2000,Israel,Total function,60264.45,45.49822,1324.5161,Major Spender,Critical,2000,Not Calculated
2000,Italy,Total function,533613.44,46.65151,11438.044,Mega Spender,Critical,2000,Not Calculated
2000,Italy,Health,66767.95,5.83723,11436.335,Major Spender,Significant,2000,Not Calculated
2000,Italy,Education,49722.684,4.34704,11435.654,Moderate Spender,Moderate,2000,Not Calculated
2000,Italy,Social protection,192438.38,16.82405,11437.61,Mega Spender,Critical,2000,Not Calculated
2000,Italy,General public services,121155.8,10.59213,11437.205,Mega Spender,Critical,2000,Not Calculated
2000,Italy,Public order and safety,22694.084,1.98405,11432.499,Moderate Spender,Minimal,2000,Not Calculated
2000,"Korea, Republic of",Total function,135860.05,23.57947,5761.55,Mega Spender,Critical,2000,Not Calculated
2000,"Korea, Republic of",Education,21596.7,3.74826,5760.2563,Moderate Spender,Moderate,2000,Not Calculated
2000,Malaysia,Total function,20260.422,21.60196,937.854,Moderate Spender,Critical,2000,Not Calculated
2000,Netherlands (Kingdom of the),Total function,176899.52,42.47874,4164.3267,Mega Spender,Critical,2000,Not Calculated
2000,Netherlands (Kingdom of the),Social protection,61744.42,14.82664,4164.1436,Major Spender,Critical,2000,Not Calculated
2000,Netherlands (Kingdom of the),General public services,29430.914,7.06722,4163.8364,Moderate Spender,Significant,2000,Not Calculated
2000,Norway,Total function,72649.91,42.42422,1712.4226,Major Spender,Critical,2000,Not Calculated
2000,Norway,Social protection,26662.828,15.56987,1712.3531,Moderate Spender,Critical,2000,Not Calculated
2000,Poland,Total function,74126.66,43.04173,1722.1644,Major Spender,Critical,2000,Not Calculated
2000,Poland,Social protection,30442.64,17.67655,1722.1075,Moderate Spender,Critical,2000,Not Calculated
2000,Portugal,Total function,50598.535,42.76753,1183.0787,Major Spender,Critical,2000,Not Calculated
2000,Russian Federation,Total function,91127.125,34.8389,2615.5964,Major Spender,Critical,2000,Not Calculated
2000,Russian Federation,Social protection,20957.963,8.01246,2615.345,Moderate Spender,Significant,2000,Not Calculated
2000,Russian Federation,General public services,23180.21,8.86205,2615.3762,Moderate Spender,Significant,2000,Not Calculated
2000,South Africa,Total function,46108.49,30.38396,1517.4773,Moderate Spender,Critical,2000,Not Calculated
2000,Spain,Total function,234000.02,39.20405,5968.6196,Mega Spender,Critical,2000,Not Calculated
2000,Spain,Health,30789.549,5.15844,5967.6143,Moderate Spender,Significant,2000,Not Calculated
2000,Spain,Education,24373.213,4.08346,5967.3037,Moderate Spender,Moderate,2000,Not Calculated
2000,Spain,Social protection,75964.36,12.72697,5968.3013,Major Spender,Critical,2000,Not Calculated
2000,Spain,General public services,37111.676,6.21764,5967.8125,Moderate Spender,Significant,2000,Not Calculated
2000,Sweden,Total function,139436.9,53.05128,2628.2925,Mega Spender,Critical,2000,Not Calculated
2000,Sweden,Social protection,57304.19,21.80241,2628.2217,Major Spender,Critical,2000,Not Calculated
2000,Sweden,General public services,25530.1,9.71339,2628.07,Moderate Spender,Significant,2000,Not Calculated
2000,"Switzerland, Liechtenstein",Total function,92973.23,32.90141,2825.727,Major Spender,Critical,2000,Not Calculated
2000,"Switzerland, Liechtenstein",Social protection,37872.832,13.40246,2825.601,Moderate Spender,Critical,2000,Not Calculated
2000,Thailand,Total function,23515.373,18.60508,1263.8542,Moderate Spender,Critical,2000,Not Calculated
2000,United Kingdom,Total function,586783.06,35.22004,16660.016,Mega Spender,Critical,2000,Not Calculated
2000,United Kingdom,Health,82421.63,4.94713,16657.127,Major Spender,Moderate,2000,Not Calculated
2000,United Kingdom,Education,77602.67,4.65789,16656.902,Major Spender,Moderate,2000,Not Calculated
2000,United Kingdom,Social protection,219537.34,13.17713,16659.219,Mega Spender,Critical,2000,Not Calculated
2000,United Kingdom,General public services,75905.07,4.55599,16656.844,Major Spender,Moderate,2000,Not Calculated
2000,United Kingdom,Defence,35950.812,2.15785,16652.762,Moderate Spender,Moderate,2000,Not Calculated
2000,United Kingdom,Public order and safety,32151.625,1.92981,16651.883,Moderate Spender,Minimal,2000,Not Calculated
2000,United States of America,Total function,3.515795e+06,34.08918,103132.195,Mega Spender,Critical,2000,Not Calculated
2000,United States of America,Housing and community amenities,54200.97,0.52553,102939.95,Major Spender,Minimal,2000,Not Calculated
2000,United States of America,Health,621853.1,6.02949,103118.18,Mega Spender,Significant,2000,Not Calculated
2000,United States of America,Education,619307.5,6.00481,103118.07,Mega Spender,Significant,2000,Not Calculated
2000,United States of America,Social protection,662856.4,6.42706,103119.195,Mega Spender,Significant,2000,Not Calculated
2000,United States of America,General public services,640251.8,6.20789,103118.56,Mega Spender,Significant,2000,Not Calculated
2000,United States of America,Defence,304718.4,2.95455,103100.41,Mega Spender,Moderate,2000,Not Calculated
2000,United States of America,Public order and safety,208038.84,2.01715,103083.945,Mega Spender,Moderate,2000,Not Calculated
2000,United States of America,"Recreation, culture and religion",31398.61,0.30444,102797.97,Moderate Spender,Minimal,2000,Not Calculated
2001,Australia,Total function,145149.39,37.11976,3910.1946,Mega Spender,Critical,2000,Not Calculated
2001,Australia,Health,23604.012,6.03637,3909.6516,Moderate Spender,Significant,2000,Not Calculated
2001,Australia,Education,22339.428,5.71297,3909.616,Moderate Spender,Significant,2000,Not Calculated
2001,Australia,Social protection,40553.57,10.37096,3909.9233,Moderate Spender,Critical,2000,Not Calculated
2001,Austria,Total function,101432.03,51.40064,1973.3229,Mega Spender,Critical,2000,Not Calculated
2001,Austria,Social protection,40720.74,20.63522,1973.2655,Moderate Spender,Critical,2000,Not Calculated
2001,Belgium,Total function,116904.016,49.42269,2365.3438,Mega Spender,Critical,2000,Not Calculated
2001,Belgium,Social protection,39486.426,16.6934,2365.25,Moderate Spender,Critical,2000,Not Calculated
2001,Belgium,General public services,26041.145,11.00923,2365.1772,Moderate Spender,Critical,2000,Not Calculated
2001,Brazil,Total function,217987.75,38.92753,5599.6914,Mega Spender,Critical,2000,Not Calculated
2001,Brazil,Health,23317.445,4.16395,5598.4937,Moderate Spender,Moderate,2000,Not Calculated
2001,Brazil,Education,26850.986,4.79496,5598.668,Moderate Spender,Moderate,2000,Not Calculated
2001,Brazil,Social protection,60794.086,10.85641,5599.3174,Major Spender,Critical,2000,Not Calculated
2001,Brazil,General public services,42015.52,7.50299,5599.091,Moderate Spender,Significant,2000,Not Calculated
2001,Brazil,Others,25307.967,4.51941,5598.5996,Moderate Spender,Moderate,2000,Not Calculated
2001,Czechia,Total function,29367.855,43.30987,678.0712,Moderate Spender,Critical,2000,Not Calculated
2001,Denmark,Total function,87071.35,52.83742,1647.8795,Major Spender,Critical,2000,Not Calculated
2001,Denmark,Social protection,37340.84,22.6595,1647.8384,Moderate Spender,Critical,2000,Not Calculated
2001,Finland,Total function,61239.566,47.31852,1294.1714,Major Spender,Critical,2000,Not Calculated
2001,Finland,Social protection,24853.719,19.20394,1294.1316,Moderate Spender,Critical,2000,Not Calculated
2001,France,Total function,712501.94,51.66474,13790.607,Mega Spender,Critical,2000,Not Calculated
2001,France,Transport,24204.389,1.7551,13783.035,Moderate Spender,Minimal,2000,Not Calculated
2001,France,Health,96718.14,7.0132,13788.906,Major Spender,Significant,2000,Not Calculated
2001,France,Education,77394.03,5.61197,13788.428,Major Spender,Significant,2000,Not Calculated
2001,France,Social protection,281522.34,20.41367,13790.199,Mega Spender,Critical,2000,Not Calculated
2001,France,General public services,107683.33,7.8083,13789.114,Mega Spender,Significant,2000,Not Calculated
2001,France,Defence,27708.092,2.00916,13784.023,Moderate Spender,Moderate,2000,Not Calculated
2001,France,Public order and safety,19926.861,1.44493,13781.346,Moderate Spender,Minimal,2000,Not Calculated
2001,Germany,Total function,922621.1,47.45774,19440.488,Mega Spender,Critical,2000,Not Calculated
2001,Germany,Transport,33990.035,1.74838,19429.762,Moderate Spender,Minimal,2000,Not Calculated
2001,Germany,Health,127130.13,6.53931,19437.938,Mega Spender,Significant,2000,Not Calculated
2001,Germany,Education,80693.53,4.15071,19436.215,Major Spender,Moderate,2000,Not Calculated
2001,Germany,Social protection,391671.34,20.14677,19439.936,Mega Spender,Critical,2000,Not Calculated
2001,Germany,General public services,129308.305,6.65135,19437.988,Mega Spender,Significant,2000,Not Calculated
2001,Germany,Defence,20226.896,1.04043,19422.234,Moderate Spender,Minimal,2000,Not Calculated
2001,Germany,Public order and safety,31052.371,1.59727,19428.738,Moderate Spender,Minimal,2000,Not Calculated
2001,Germany,"Recreation, culture and religion",23433.252,1.20536,19424.758,Moderate Spender,Minimal,2000,Not Calculated
2001,Germany,"General economic, commercial and labour affairs",25735.02,1.32376,19426.174,Moderate Spender,Minimal,2000,Not Calculated
2001,Greece,Total function,62683.32,46.02633,1361.8718,Major Spender,Critical,2000,Not Calculated
2001,Hungary,Total function,25397.916,47.25236,537.4838,Moderate Spender,Critical,2000,Not Calculated
2001,Iran (Islamic Republic of),Total function,27101.6,22.30196,1215.1571,Moderate Spender,Critical,2000,Not Calculated
2001,Ireland,Total function,35180.094,32.20114,1092.4768,Moderate Spender,Critical,2000,Not Calculated
2001,Israel,Total function,63320.34,48.40349,1308.1501,Major Spender,Critical,2000,Not Calculated
2001,Italy,Total function,552936.56,47.38093,11669.776,Mega Spender,Critical,2000,Not Calculated
2001,Italy,Transport,22410.264,1.92033,11663.932,Moderate Spender,Minimal,2000,Not Calculated
2001,Italy,Health,71620.805,6.13716,11668.123,Major Spender,Significant,2000,Not Calculated
2001,Italy,Education,51594.887,4.42115,11667.376,Major Spender,Moderate,2000,Not Calculated
2001,Italy,Social protection,193719.3,16.59973,11669.324,Mega Spender,Critical,2000,Not Calculated
2001,Italy,General public services,124394.88,10.65935,11668.93,Mega Spender,Critical,2000,Not Calculated
2001,Italy,Public order and safety,21404.65,1.83416,11663.643,Moderate Spender,Minimal,2000,Not Calculated
2001,"Korea, Republic of",Total function,137907.64,25.18142,5476.346,Mega Spender,Critical,2000,Not Calculated
2001,"Korea, Republic of",Education,22586.943,4.12429,5475.238,Moderate Spender,Moderate,2000,Not Calculated
2001,"Korea, Republic of",General public services,21877.688,3.99478,5475.198,Moderate Spender,Moderate,2000,Not Calculated
2001,Malaysia,Total function,24283.08,26.17164,927.804,Moderate Spender,Critical,2000,Not Calculated
2001,Netherlands (Kingdom of the),Total function,185968.52,43.12718,4311.9956,Mega Spender,Critical,2000,Not Calculated
2001,Netherlands (Kingdom of the),Health,20596.793,4.77652,4311.1895,Moderate Spender,Moderate,2000,Not Calculated
2001,Netherlands (Kingdom of the),Education,19920.592,4.6197,4311.163,Moderate Spender,Moderate,2000,Not Calculated
2001,Netherlands (Kingdom of the),Social protection,64211.26,14.89096,4311.807,Major Spender,Critical,2000,Not Calculated
2001,Netherlands (Kingdom of the),General public services,29078.404,6.74345,4311.4565,Moderate Spender,Significant,2000,Not Calculated
2001,Norway,Total function,76869.945,44.18496,1739.6917,Major Spender,Critical,2000,Not Calculated
2001,Norway,Social protection,28610.197,16.44518,1739.6256,Moderate Spender,Critical,2000,Not Calculated
2001,Poland,Total function,85607.125,44.84267,1909.0125,Major Spender,Critical,2000,Not Calculated
2001,Poland,Social protection,35425.39,18.55651,1908.9517,Moderate Spender,Critical,2000,Not Calculated
2001,Portugal,Total function,53664.258,44.16891,1214.9506,Major Spender,Critical,2000,Not Calculated
2001,Russian Federation,Total function,115418.93,37.3765,3087.9255,Mega Spender,Critical,2000,Not Calculated
2001,Russian Federation,Social protection,29164.553,9.44445,3087.6824,Moderate Spender,Significant,2000,Not Calculated
2001,Russian Federation,General public services,29083.3,9.41814,3087.681,Moderate Spender,Significant,2000,Not Calculated
2001,South Africa,Total function,40131.227,29.63247,1354.2534,Moderate Spender,Critical,2000,Not Calculated
2001,Spain,Total function,241169.75,38.44683,6272.649,Mega Spender,Critical,2000,Not Calculated
2001,Spain,Health,31685.58,5.05126,6271.566,Moderate Spender,Significant,2000,Not Calculated
2001,Spain,Education,25048.07,3.99312,6271.2363,Moderate Spender,Moderate,2000,Not Calculated
2001,Spain,Social protection,78276.23,12.47865,6272.309,Major Spender,Critical,2000,Not Calculated
2001,Spain,General public services,38255.023,6.09854,6271.7886,Moderate Spender,Significant,2000,Not Calculated
2001,Sweden,Total function,127310.94,52.5221,2423.9038,Mega Spender,Critical,2000,Not Calculated
2001,Sweden,Social protection,52479.703,21.65049,2423.8381,Major Spender,Critical,2000,Not Calculated
2001,Sweden,General public services,20651.873,8.51992,2423.6667,Moderate Spender,Significant,2000,Not Calculated
2001,"Switzerland, Liechtenstein",Total function,93432.125,32.22021,2899.7087,Major Spender,Critical,2000,Not Calculated
2001,"Switzerland, Liechtenstein",Social protection,35607.605,12.27934,2899.5618,Moderate Spender,Critical,2000,Not Calculated
2001,Thailand,Total function,23911.648,19.87726,1202.9045,Moderate Spender,Critical,2000,Not Calculated
2001,United Kingdom,Total function,597924.1,36.26497,16487.195,Mega Spender,Critical,2000,Not Calculated
2001,United Kingdom,Transport,20135.176,1.22123,16474.129,Moderate Spender,Minimal,2000,Not Calculated
2001,United Kingdom,Health,86291.76,5.23372,16484.504,Major Spender,Significant,2000,Not Calculated
2001,United Kingdom,Education,81343.98,4.93363,16484.31,Major Spender,Moderate,2000,Not Calculated
2001,United Kingdom,Social protection,223945.7,13.58263,16486.44,Mega Spender,Critical,2000,Not Calculated
2001,United Kingdom,General public services,65074.03,3.94683,16483.494,Major Spender,Moderate,2000,Not Calculated
2001,United Kingdom,Defence,34019.766,2.06335,16479.65,Moderate Spender,Moderate,2000,Not Calculated
2001,United Kingdom,Public order and safety,33553.348,2.03506,16479.549,Moderate Spender,Moderate,2000,Not Calculated
2001,United States of America,Total function,3.7682438e+06,35.37556,106518.09,Mega Spender,Critical,2000,Not Calculated
2001,United States of America,Housing and community amenities,57886.8,0.54343,106325.52,Major Spender,Minimal,2000,Not Calculated
2001,United States of America,Health,699008.06,6.56216,106504.805,Mega Spender,Significant,2000,Not Calculated
2001,United States of America,Education,666547.3,6.25742,106504.086,Mega Spender,Significant,2000,Not Calculated
2001,United States of America,Social protection,706673.4,6.63412,106504.99,Mega Spender,Significant,2000,Not Calculated
2001,United States of America,General public services,647037.44,6.07427,106503.49,Mega Spender,Significant,2000,Not Calculated
2001,United States of America,Defence,328093.38,3.08008,106486.484,Mega Spender,Moderate,2000,Not Calculated
2001,United States of America,Public order and safety,224111.23,2.10391,106470.7,Mega Spender,Moderate,2000,Not Calculated
2001,United States of America,"Recreation, culture and religion",34024.5,0.31942,106187.195,Moderate Spender,Minimal,2000,Not Calculated
2002,Australia,Total function,159275.22,36.52151,4361.015,Mega Spender,Critical,2000,Not Calculated
2002,Australia,Health,26442.46,6.06321,4360.413,Moderate Spender,Significant,2000,Not Calculated
2002,Australia,Education,24663.111,5.65521,4360.36,Moderate Spender,Significant,2000,Not Calculated
2002,Australia,Social protection,43771.402,10.0367,4360.7,Moderate Spender,Critical,2000,Not Calculated
2002,Austria,Total function,109457.805,51.29533,2133.833,Mega Spender,Critical,2000,Not Calculated
2002,Austria,Social protection,44749.21,20.97087,2133.7732,Moderate Spender,Critical,2000,Not Calculated
2002,Belgium,Total function,128942.41,50.13907,2571.644,Mega Spender,Critical,2000,Not Calculated
2002,Belgium,Social protection,44189.402,17.18299,2571.5452,Moderate Spender,Critical,2000,Not Calculated
2002,Belgium,General public services,27209.262,10.58028,2571.4526,Moderate Spender,Critical,2000,Not Calculated
2002,Brazil,Total function,185350.86,36.35791,5097.811,Mega Spender,Critical,2000,Not Calculated
2002,Brazil,Social protection,61914.758,12.14503,5097.5303,Major Spender,Critical,2000,Not Calculated
2002,Brazil,General public services,37991.875,7.45238,5097.268,Moderate Spender,Significant,2000,Not Calculated
2002,"China, Hong Kong SAR",Total function,35552.887,21.37248,1663.4113,Moderate Spender,Critical,2000,Not Calculated
2002,Czechia,Total function,36707.344,44.6582,821.9436,Moderate Spender,Critical,2000,Not Calculated
2002,Denmark,Total function,95059.3,53.21431,1786.3148,Major Spender,Critical,2000,Not Calculated
2002,Denmark,Social protection,41063.17,22.98721,1786.271,Moderate Spender,Critical,2000,Not Calculated
2002,Egypt,Total function,26987.777,31.19191,865.1895,Moderate Spender,Critical,2000,Not Calculated
2002,Finland,Total function,68053.89,48.69871,1397.4188,Major Spender,Critical,2000,Not Calculated
2002,Finland,Social protection,27993.71,20.03203,1397.3778,Moderate Spender,Critical,2000,Not Calculated
2002,France,Total function,792671.6,52.94309,14971.863,Mega Spender,Critical,2000,Not Calculated
2002,France,Transport,27408.4,1.83063,14963.939,Moderate Spender,Minimal,2000,Not Calculated
2002,France,Health,109394.37,7.30653,14970.088,Mega Spender,Significant,2000,Not Calculated
2002,France,Education,86796.1,5.79717,14969.568,Major Spender,Significant,2000,Not Calculated
2002,France,Social protection,310715.53,20.7529,14971.43,Mega Spender,Critical,2000,Not Calculated
2002,France,General public services,115502.77,7.71451,14970.206,Mega Spender,Significant,2000,Not Calculated
2002,France,Defence,30586.473,2.04289,14964.833,Moderate Spender,Moderate,2000,Not Calculated
2002,France,Public order and safety,22930.162,1.53152,14962.39,Moderate Spender,Minimal,2000,Not Calculated
2002,Germany,Total function,995002.6,48.09754,20686.752,Mega Spender,Critical,2000,Not Calculated
2002,Germany,Transport,35702.973,1.72585,20675.201,Moderate Spender,Minimal,2000,Not Calculated
2002,Germany,Housing and community amenities,21191.254,1.02437,20666.934,Moderate Spender,Minimal,2000,Not Calculated
2002,Germany,Health,139179.94,6.72783,20684.121,Mega Spender,Significant,2000,Not Calculated
2002,Germany,Education,86528.51,4.18271,20682.242,Major Spender,Moderate,2000,Not Calculated
2002,Germany,Social protection,428325.03,20.70485,20686.186,Mega Spender,Critical,2000,Not Calculated
2002,Germany,General public services,138709.98,6.70512,20684.09,Mega Spender,Significant,2000,Not Calculated
2002,Germany,Defence,21795.475,1.05357,20667.64,Moderate Spender,Minimal,2000,Not Calculated
2002,Germany,Public order and safety,33707.812,1.62941,20674.438,Moderate Spender,Minimal,2000,Not Calculated
2002,Germany,"Recreation, culture and religion",25170.227,1.21671,20670.13,Moderate Spender,Minimal,2000,Not Calculated
2002,Germany,"General economic, commercial and labour affairs",25321.52,1.22402,20670.29,Moderate Spender,Minimal,2000,Not Calculated
2002,Greece,Total function,70785.65,46.01313,1538.346,Major Spender,Critical,2000,Not Calculated
2002,Greece,Social protection,21227.186,13.79841,1538.2676,Moderate Spender,Critical,2000,Not Calculated
2002,Hungary,Total function,34473.92,50.99482,676.01465,Moderate Spender,Critical,2000,Not Calculated
2002,Iran (Islamic Republic of),Total function,36796.98,24.52313,1500.4398,Moderate Spender,Critical,2000,Not Calculated
2002,Ireland,Total function,42282.066,33.03506,1279.8762,Moderate Spender,Critical,2000,Not Calculated
2002,Israel,Total function,63691.465,52.5734,1211.454,Major Spender,Critical,2000,Not Calculated
2002,Italy,Total function,596248.56,46.92025,12707.432,Mega Spender,Critical,2000,Not Calculated
2002,Italy,Transport,24283.469,1.91093,12701.023,Moderate Spender,Minimal,2000,Not Calculated
2002,Italy,Health,79762.93,6.27674,12705.676,Major Spender,Significant,2000,Not Calculated
2002,Italy,Education,56672.68,4.45971,12704.856,Major Spender,Moderate,2000,Not Calculated
2002,Italy,Social protection,207389.84,16.32001,12706.926,Mega Spender,Critical,2000,Not Calculated
2002,Italy,General public services,130420.15,10.26308,12706.463,Mega Spender,Critical,2000,Not Calculated
2002,Italy,Public order and safety,24236.945,1.90726,12701.071,Moderate Spender,Minimal,2000,Not Calculated
2002,"Korea, Republic of",Total function,155766.39,24.83334,6272.2183,Mega Spender,Critical,2000,Not Calculated
2002,"Korea, Republic of",Education,26164.457,4.17132,6270.9614,Moderate Spender,Moderate,2000,Not Calculated
2002,"Korea, Republic of",Social protection,20216.803,3.2231,6270.5264,Moderate Spender,Moderate,2000,Not Calculated
2002,"Korea, Republic of",General public services,24842.871,3.96062,6270.887,Moderate Spender,Moderate,2000,Not Calculated
2002,Malaysia,Total function,26920.264,26.69455,1008.41766,Moderate Spender,Critical,2000,Not Calculated
2002,Netherlands (Kingdom of the),Total function,206968.12,43.88307,4716.247,Mega Spender,Critical,2000,Not Calculated
2002,Netherlands (Kingdom of the),Health,24394.857,5.1724,4715.44,Moderate Spender,Significant,2000,Not Calculated
2002,Netherlands (Kingdom of the),Education,22797.783,4.83377,4715.3813,Moderate Spender,Moderate,2000,Not Calculated
2002,Netherlands (Kingdom of the),Social protection,71908.99,15.24673,4716.046,Major Spender,Critical,2000,Not Calculated
2002,Netherlands (Kingdom of the),General public services,30139.217,6.39036,4715.6187,Moderate Spender,Significant,2000,Not Calculated
2002,Norway,Total function,92245.29,47.17833,1955.2056,Major Spender,Critical,2000,Not Calculated
2002,Norway,Social protection,34601.91,17.69695,1955.1366,Moderate Spender,Critical,2000,Not Calculated
2002,Poland,Total function,89997.8,45.20902,1990.6605,Major Spender,Critical,2000,Not Calculated
2002,Poland,Social protection,36840.875,18.50645,1990.597,Moderate Spender,Critical,2000,Not Calculated
2002,Portugal,Total function,58951.645,43.94058,1341.5914,Major Spender,Critical,2000,Not Calculated
2002,Russian Federation,Total function,149335.77,42.91895,3479.4023,Mega Spender,Critical,2000,Not Calculated
2002,Russian Federation,Social protection,34778.715,9.99537,3479.1343,Moderate Spender,Significant,2000,Not Calculated
2002,Russian Federation,General public services,46843.414,13.46275,3479.2246,Moderate Spender,Critical,2000,Not Calculated
2002,South Africa,Total function,38295.105,29.66599,1290.8322,Moderate Spender,Critical,2000,Not Calculated
2002,Spain,Total function,273844.78,38.81975,7054.0825,Mega Spender,Critical,2000,Not Calculated
2002,Spain,Health,36272.207,5.14188,7052.898,Moderate Spender,Significant,2000,Not Calculated
2002,Spain,Education,28636.7,4.05949,7052.523,Moderate Spender,Moderate,2000,Not Calculated
2002,Spain,Social protection,89455.055,12.68099,7053.7075,Major Spender,Critical,2000,Not Calculated
2002,Spain,General public services,41131.51,5.83073,7053.055,Moderate Spender,Significant,2000,Not Calculated
2002,Sweden,Total function,143076.23,53.61705,2668.434,Mega Spender,Critical,2000,Not Calculated
2002,Sweden,Social protection,58361.387,21.87061,2668.3628,Major Spender,Critical,2000,Not Calculated
2002,Sweden,General public services,23539.19,8.82118,2668.1826,Moderate Spender,Significant,2000,Not Calculated
2002,"Switzerland, Liechtenstein",Total function,108422.73,34.62349,3131.3884,Mega Spender,Critical,2000,Not Calculated
2002,"Switzerland, Liechtenstein",Social protection,44228.64,14.12388,3131.2576,Moderate Spender,Critical,2000,Not Calculated
2002,Thailand,Total function,31998.076,23.82566,1342.9526,Moderate Spender,Critical,2000,Not Calculated
2002,United Kingdom,Total function,672344.56,37.64988,17857.34,Mega Spender,Critical,2000,Not Calculated
2002,United Kingdom,Transport,22368.822,1.25261,17843.525,Moderate Spender,Minimal,2000,Not Calculated
2002,United Kingdom,Health,99256.12,5.55813,17854.615,Major Spender,Significant,2000,Not Calculated
2002,United Kingdom,Education,98947.38,5.54085,17854.576,Major Spender,Significant,2000,Not Calculated
2002,United Kingdom,Social protection,247900.5,13.88191,17856.521,Mega Spender,Critical,2000,Not Calculated
2002,United Kingdom,General public services,68197.555,3.81892,17853.139,Major Spender,Moderate,2000,Not Calculated
2002,United Kingdom,Defence,38339.49,2.14693,17849.506,Moderate Spender,Moderate,2000,Not Calculated
2002,United Kingdom,Public order and safety,37949.812,2.12511,17849.412,Moderate Spender,Moderate,2000,Not Calculated
2002,United States of America,Total function,4.0149282e+06,36.49358,110014.375,Mega Spender,Critical,2000,Not Calculated
2002,United States of America,Housing and community amenities,64421.1,0.58555,109830.54,Major Spender,Minimal,2000,Not Calculated
2002,United States of America,Health,762344.8,6.92931,110001.55,Mega Spender,Significant,2000,Not Calculated
