Year,Country,Sector,Expenditure_USD_Million,GDP_Percentage
2020,Australia,Public order and safety,30687.81,2.14341
2020,Australia,Housing and community amenities,9703.492,0.67775
2020,Australia,Environment protection,13887.005,0.96995
2020,Australia,Fuel and energy,7683.652,0.53667
2020,Australia,Communication,389.516,0.02721
2020,Australia,Transport,49158.166,3.43349
2020,Australia,"Mining, manufacturing and construction",3315.704,0.23159
2020,Australia,"Agriculture, forestry, fishing and hunting",3896.537,0.27216
2020,Australia,Total function,660774.092,46.15229
2020,Australia,Health,117574.668,8.2121
2021,Australia,General public services,66185.693,3.81577
2021,Australia,Defence,41667.66,2.40224
2021,Australia,Other industries,1634.586,0.09424
2021,Australia,"Recreation, culture and religion",15996.553,0.92224
2021,Australia,"General economic, commercial and labour affairs",20410.535,1.17672
2021,Australia,Social protection,186628.209,10.75957
2021,Australia,Public order and safety,35559.749,2.05011
2021,Australia,Education,100478.938,5.79286
2021,Australia,Fuel and energy,9386.848,0.54117
2021,Australia,Housing and community amenities,11798.162,0.68019
2021,Australia,Environment protection,15833.546,0.91284
2021,Australia,Transport,58754.188,3.38732
2021,Australia,"Mining, manufacturing and construction",3732.654,0.2152
2021,Australia,"Agriculture, forestry, fishing and hunting",4244.965,0.24473
2021,Australia,Total function,719633.821,41.48865
2021,Australia,RandD Economic affairs,509.306,0.02936
2021,Australia,Health,142628.11,8.22286
2021,Australia,Economic affairs n.e.c.,4388.442,0.253
