employee_id,age,gender,department,job_role,years_at_company,years_in_current_role,monthly_salary,performance_rating,work_life_balance,job_satisfaction,environment_satisfaction,relationship_satisfaction,overtime,companies_worked_before,distance_from_home,training_hours,promotion,attrition,remote_work,education,marital_status,hire_date,last_promotion_date,hire_quarter,days_since_promotion,tenure_category
1047,58,Female,HR,Senior,5.2,2.1,6922.65,3.2,2.0,2.6,4.4,4.6,0,2,3.5,20,0,0,Hybrid,Bachelor,Single,2017-10-07 20:36:20.207371,2025-07-02 20:36:20.207371,Q4,427,5-10 years
1048,39,Female,Finance,Junior,13.3,1.7,8182.58,4.0,4.0,3.2,2.7,5.0,1,2,18.2,70,0,0,Hybrid,Bachelor,Single,2025-11-11 20:36:20.207371,2025-03-23 20:36:20.207371,Q4,528,>10 years
1049,44,Female,Engineering,Senior,18.6,7.7,,2.9,3.0,3.1,3.7,3.4,0,2,28.1,81,0,1,Remote,Bachelor,Single,2017-09-11 20:36:20.207371,2026-01-07 20:36:20.207371,Q3,238,>10 years
1050,57,Female,Finance,Manager,4.6,1.3,7234.07,3.2,3.0,,2.8,4.2,0,2,10.4,56,1,0,Remote,Bachelor,Married,2021-12-05 20:36:20.207371,2025-10-18 20:36:20.207371,Q4,319,3-5 years
1051,22,Male,Finance,Senior,1.4,1.4,4087.23,3.0,3.0,3.9,4.1,4.3,1,0,36.3,12,0,1,Onsite,Bachelor,Single,2022-12-21 20:36:20.207371,2025-06-14 20:36:20.207371,Q4,445,1-3 years
1052,24,Male,IT,Senior,25.0,1.1,23349.53379517133,3.1,3.0,4.4,3.1,3.8,1,5,13.2,49,0,0,Onsite,Bachelor,Single,2021-08-07 20:36:20.207371,2025-01-06 20:36:20.207371,Q3,604,>10 years
1053,52,Female,HR,Lead,4.2,4.2,6649.42,4.3,2.0,2.9,2.7,3.6,0,2,28.5,87,0,1,Hybrid,Bachelor,Single,2021-02-28 20:36:20.207371,2025-05-03 20:36:20.207371,Q1,487,3-5 years
1054,27,Male,Marketing,Junior,0.9,0.9,4400.8,3.4,3.0,2.6,4.2,3.5,0,0,56.4,10,0,1,Onsite,Master,Married,2021-03-27 20:36:20.207371,2026-01-28 20:36:20.207371,Q1,217,<1 year
1055,35,Female,Finance,Manager,10.1,3.3,,5.0,4.0,3.5,2.9,4.6,1,0,18.4,57,0,0,Hybrid,PhD,Single,2025-09-07 20:36:20.207371,2023-08-26 20:36:20.207371,Q3,1103,>10 years
1056,45,Non-Binary,Engineering,Junior,3.4,0.1,6641.71,4.8,2.0,2.2,3.1,4.1,1,4,22.4,10,0,0,Hybrid,Master,Single,2020-02-24 20:36:20.207371,2025-10-21 20:36:20.207371,Q1,316,3-5 years
1057,43,Male,Marketing,Senior,8.3,8.3,7808.68,4.5,3.0,1.8,3.5,2.9,1,4,7.3,54,1,0,Onsite,Master,,2021-02-08 20:36:20.207371,2022-06-21 20:36:20.207371,Q1,1534,5-10 years
1058,52,Male,Engineering,Senior,1.3,1.3,5230.3,3.4,3.0,3.2,3.1,3.4,0,0,19.4,20,0,0,Hybrid,Bachelor,Single,2025-07-06 20:36:20.207371,2023-07-05 20:36:20.207371,Q3,1155,1-3 years
1059,49,Female,HR,Lead,11.4,1.1,9063.1,2.6,2.0,4.1,2.0,4.1,0,3,12.0,22,0,1,Onsite,Bachelor,Single,2019-01-28 20:36:20.207371,2025-11-12 20:36:20.207371,Q1,294,>10 years
1060,45,Female,Sales,Junior,3.4,3.0,6306.71,2.9,3.0,4.6,4.3,3.5,1,2,11.3,51,0,0,Hybrid,Master,Single,2025-10-18 20:36:20.207371,2022-04-18 20:36:20.207371,Q4,1598,3-5 years
1061,27,Male,HR,Senior,3.6,3.2,5356.74,3.7,2.0,3.6,4.3,3.5,0,2,19.9,61,1,0,Hybrid,Master,Single,2023-01-21 20:36:20.207371,2023-03-15 20:36:20.207371,Q1,1267,3-5 years
1062,42,Male,Finance,Senior,4.6,0.5,6346.15,3.0,2.0,3.4,3.5,2.6,0,4,20.1,49,0,0,Remote,Bachelor,Single,2024-08-02 20:36:20.207371,2024-02-24 20:36:20.207371,Q3,921,3-5 years
1063,38,Female,IT,Senior,5.1,0.1,6423.92,4.1,3.0,3.6,4.2,3.8,1,0,17.0,59,0,0,Onsite,Bachelor,Married,2021-07-22 20:36:20.207371,2026-08-24 20:36:20.207371,Q3,9,5-10 years
1064,22,Female,HR,Senior,0.5,0.5,5059.45,3.6,4.0,3.1,2.9,3.4,1,1,13.8,69,0,0,Hybrid,Bachelor,Single,2022-08-17 20:36:20.207371,2025-12-29 20:36:20.207371,Q3,247,<1 year
1065,49,Male,Sales,Senior,1.0,1.0,5569.96,3.6,3.0,2.2,3.8,3.6,0,0,5.1,66,0,0,Hybrid,High School,Married,2024-08-30 20:36:20.207371,2026-03-13 20:36:20.207371,Q3,173,<1 year
1066,43,Female,HR,Lead,8.2,5.6,6156.22,4.0,3.0,2.7,3.3,2.6,0,3,1.5,57,0,0,Onsite,PhD,Divorced,2026-04-24 20:36:20.207371,2025-12-04 20:36:20.207371,Q2,272,5-10 years
1067,35,Female,Operations,Senior,0.6,0.6,4034.61,2.2,3.0,2.7,3.1,4.8,1,0,18.5,49,1,0,Hybrid,Bachelor,,2024-05-18 20:36:20.207371,2023-10-04 20:36:20.207371,Q2,1064,<1 year
1068,32,Female,Finance,Junior,1.3,1.3,4763.69,2.8,2.0,3.4,3.9,3.0,0,2,7.4,174,0,0,Hybrid,Bachelor,Married,2019-04-18 20:36:20.207371,2026-01-01 20:36:20.207371,Q2,244,1-3 years
1069,23,Non-Binary,Operations,Manager,3.6,0.3,5279.54,3.7,2.0,4.2,3.3,2.7,0,0,54.9,25,0,1,Remote,Bachelor,Single,2025-02-19 20:36:20.207371,2025-11-27 20:36:20.207371,Q1,279,3-5 years
1070,36,Female,Sales,Senior,7.8,0.3,6151.15,3.3,3.0,5.0,4.7,4.3,1,1,38.3,87,0,1,Onsite,Master,Married,2020-05-31 20:36:20.207371,2023-11-25 20:36:20.207371,Q2,1012,5-10 years
1071,39,Male,Engineering,Lead,0.9,0.9,4619.63,3.1,4.0,1.8,3.8,4.4,0,4,8.4,71,0,0,Remote,Master,Single,2017-06-12 20:36:20.207371,2026-02-10 20:36:20.207371,Q2,204,<1 year
1072,26,Male,HR,Junior,5.2,5.2,4597.46,2.5,1.0,2.4,3.4,3.2,0,3,8.9,74,0,0,Hybrid,,Married,2023-11-09 20:36:20.207371,2023-07-20 20:36:20.207371,Q4,1140,5-10 years
1073,46,Female,Operations,Senior,2.1,2.1,6415.63,3.8,4.0,4.1,3.7,3.2,0,0,1.0,57,1,0,Hybrid,Master,Divorced,2020-05-08 20:36:20.207371,2023-10-13 20:36:20.207371,Q2,1055,1-3 years
1074,24,Female,Engineering,Senior,2.1,2.1,5735.47,3.8,4.0,5.0,4.0,3.4,0,1,2.1,54,0,0,Onsite,PhD,Single,2017-06-05 20:36:20.207371,2024-12-10 20:36:20.207371,Q2,631,1-3 years
1075,22,Female,Finance,Junior,0.5,0.5,4564.59,3.2,2.0,4.3,4.2,3.9,0,3,2.6,76,0,0,Onsite,High School,Married,2020-11-27 20:36:20.207371,2026-04-27 20:36:20.207371,Q4,128,<1 year
1076,45,Female,HR,Manager,4.8,1.6,5911.04,3.0,,2.8,3.8,3.1,0,1,53.1,85,1,0,Hybrid,Bachelor,Divorced,2018-01-10 20:36:20.207371,2024-10-22 20:36:20.207371,Q1,680,3-5 years
1077,30,Male,Engineering,Senior,6.2,2.2,5341.03,,3.0,4.0,4.2,3.2,1,2,9.0,54,0,0,Hybrid,Master,Married,2021-01-24 20:36:20.207371,2024-12-02 20:36:20.207371,Q1,639,5-10 years
1078,33,Male,HR,Executive,1.0,1.0,4373.87,1.8,2.0,3.3,4.5,2.7,1,0,13.1,59,0,1,Hybrid,High School,Single,2017-10-25 20:36:20.207371,2026-05-15 20:36:20.207371,Q4,110,<1 year
1079,26,Male,Operations,Manager,1.8,0.8,5010.98,3.3,1.0,2.1,5.0,3.4,0,2,28.6,73,0,0,Onsite,Bachelor,Single,2025-12-10 20:36:20.207371,2024-11-08 20:36:20.207371,Q4,663,1-3 years
1080,22,Female,Engineering,Manager,7.9,0.9,6085.31,2.6,3.0,2.6,4.1,3.3,1,2,6.9,85,1,0,Onsite,Master,Married,2023-03-24 20:36:20.207371,2026-05-01 20:36:20.207371,Q1,124,5-10 years
1081,47,Male,Sales,Manager,21.6,1.1,8929.52,2.4,2.0,3.9,3.5,4.0,0,3,69.0,42,1,0,Remote,Bachelor,Single,2024-08-27 20:36:20.207371,2026-01-11 20:36:20.207371,Q3,234,>10 years
1082,28,Male,Marketing,Intern,0.5,0.5,4343.53,3.0,4.0,3.5,3.1,3.9,0,6,5.6,34,0,0,Remote,Master,Single,2022-07-25 20:36:20.207371,2023-04-05 20:36:20.207371,Q3,1246,<1 year
1083,51,Female,Engineering,Junior,3.4,1.7,6045.53,4.2,2.0,2.9,2.9,3.0,0,2,1.5,50,1,0,Remote,Master,Married,2023-12-20 20:36:20.207371,2026-05-10 20:36:20.207371,Q4,115,3-5 years
1084,43,Female,Finance,Executive,3.3,1.4,6918.98,2.6,4.0,3.0,3.1,4.4,0,4,26.0,32,0,0,Onsite,Bachelor,Divorced,2019-05-31 20:36:20.207371,2026-05-06 20:36:20.207371,Q2,119,3-5 years
1085,31,Female,IT,Senior,4.4,2.3,5798.75,3.2,4.0,2.7,2.9,2.9,1,3,12.0,67,0,1,Remote,Master,Divorced,2017-06-01 20:36:20.207371,2026-06-19 20:36:20.207371,Q2,75,3-5 years
1086,24,Female,Engineering,Senior,2.6,2.6,4886.54,3.3,4.0,2.9,4.6,3.4,1,0,5.2,62,0,0,Hybrid,Bachelor,Single,2018-02-15 20:36:20.207371,2024-12-24 20:36:20.207371,Q1,617,1-3 years
1087,27,Female,Marketing,Junior,0.8,0.8,4224.51,2.8,3.0,2.4,2.9,5.0,0,1,45.4,13,0,0,Onsite,High School,Single,2026-07-19 20:36:20.207371,2026-08-05 20:36:20.207371,Q3,28,<1 year
1088,22,Female,Sales,Senior,2.6,2.6,4079.24,3.0,4.0,3.1,3.4,3.1,0,2,7.4,40,1,0,Hybrid,Master,Single,2018-08-02 20:36:20.207371,2025-07-05 20:36:20.207371,Q3,424,1-3 years
1089,55,Female,Operations,Junior,2.6,2.6,6452.4,3.9,3.0,3.3,4.1,3.4,0,1,8.7,69,0,0,Remote,PhD,Divorced,2026-06-06 20:36:20.207371,2023-05-29 20:36:20.207371,Q2,1192,1-3 years
1090,36,Female,Finance,Senior,4.9,4.9,5619.6,3.1,4.0,3.0,4.0,3.5,0,3,13.8,14,0,0,Onsite,,Married,2018-11-23 20:36:20.207371,2021-10-11 20:36:20.207371,Q4,1787,3-5 years
1091,46,Male,Finance,Senior,7.3,7.0,6866.01,3.5,3.0,2.8,3.7,2.8,0,4,7.4,77,0,0,Remote,High School,Divorced,2025-05-01 20:36:20.207371,2025-10-17 20:36:20.207371,Q2,320,5-10 years
1092,22,Male,Operations,Junior,13.9,5.5,7704.89,4.8,1.0,2.7,3.9,4.1,1,0,33.7,59,0,0,Onsite,PhD,Married,2020-03-03 20:36:20.207371,2026-04-18 20:36:20.207371,Q1,137,>10 years
1093,36,Female,Engineering,Intern,13.1,1.3,7691.48,4.8,4.0,3.9,4.0,3.4,0,4,14.4,68,0,1,Onsite,High School,Married,2018-05-15 20:36:20.207371,2024-12-14 20:36:20.207371,Q2,627,>10 years
1094,46,Female,Sales,Lead,0.5,0.1,4515.55,2.9,3.0,2.4,2.8,3.3,0,2,1.4,73,0,0,Onsite,High School,Married,2025-05-27 20:36:20.207371,2024-04-24 20:36:20.207371,Q2,861,<1 year
1095,31,Male,Engineering,Senior,0.5,0.2,4737.41,4.1,2.0,2.0,3.2,2.9,0,1,1.0,68,0,1,Onsite,Master,Married,2017-04-30 20:36:20.207371,2024-12-20 20:36:20.207371,Q2,621,<1 year
1096,45,Male,Marketing,Junior,4.3,1.2,6486.34,3.1,,2.6,3.6,3.8,1,6,8.8,66,0,0,Hybrid,Master,Single,2025-07-25 20:36:20.207371,2024-02-18 20:36:20.207371,Q3,927,3-5 years
1097,24,Male,IT,Junior,2.3,0.1,4188.99,5.0,2.0,2.3,3.2,3.8,0,1,37.3,53,0,0,Hybrid,Bachelor,Married,2017-06-25 20:36:20.207371,2026-07-02 20:36:20.207371,Q2,62,1-3 years
1098,22,Female,IT,Senior,1.9,1.9,3851.02,4.6,1.0,3.9,3.3,3.6,0,3,10.6,63,0,0,Onsite,High School,Married,2025-05-20 20:36:20.207371,2026-02-16 20:36:20.207371,Q2,198,1-3 years
1099,38,Male,Finance,Intern,2.9,0.3,5984.71,,2.0,3.6,3.2,3.4,0,2,9.3,66,1,0,Remote,Master,Married,2018-06-11 20:36:20.207371,2026-02-07 20:36:20.207371,Q2,207,1-3 years
1100,31,Male,IT,Manager,9.4,1.1,6786.03,4.3,2.0,1.9,3.8,3.0,0,2,7.1,58,0,0,Onsite,Bachelor,Single,2020-03-26 20:36:20.207371,2024-02-15 20:36:20.207371,Q1,930,5-10 years
1101,41,Male,IT,Junior,1.6,1.6,5942.62,3.1,3.0,4.0,3.2,3.5,0,3,13.0,35,0,0,Onsite,Bachelor,Divorced,2024-01-27 20:36:20.207371,2025-08-14 20:36:20.207371,Q1,384,1-3 years
1102,22,Female,IT,Junior,8.3,0.9,5774.35,4.7,4.0,2.6,3.7,3.7,1,3,1.0,65,0,1,Onsite,Master,Single,2020-05-20 20:36:20.207371,2023-01-02 20:36:20.207371,Q2,1339,5-10 years
1103,42,Female,Engineering,Senior,1.7,1.5,4973.09,4.2,1.0,2.3,4.9,2.8,0,1,7.5,74,0,1,Onsite,Bachelor,Married,2019-11-29 20:36:20.207371,2026-06-15 20:36:20.207371,Q4,79,1-3 years
1104,60,Male,Sales,Senior,0.7,0.7,,4.8,3.0,2.3,3.8,3.1,1,2,29.9,59,0,0,Onsite,Bachelor,Single,2017-11-10 20:36:20.207371,2026-01-27 20:36:20.207371,Q4,218,<1 year
1105,34,Female,Engineering,Senior,2.0,2.0,5858.61,3.3,4.0,2.0,4.4,4.5,0,0,6.1,60,0,1,Onsite,Bachelor,Married,2023-02-07 20:36:20.207371,2025-08-19 20:36:20.207371,Q1,379,1-3 years
1106,35,Female,Finance,Lead,8.1,7.0,5795.15,3.5,3.0,3.4,3.4,4.3,0,1,14.0,53,0,0,Hybrid,High School,Married,2017-08-13 20:36:20.207371,2023-10-20 20:36:20.207371,Q3,1048,5-10 years
1107,36,Non-Binary,Engineering,Manager,1.7,1.7,5227.47,4.1,3.0,5.0,3.0,4.6,0,1,23.6,88,0,0,Hybrid,Master,Married,2025-06-29 20:36:20.207371,2025-03-26 20:36:20.207371,Q2,525,1-3 years
1108,22,Female,IT,Junior,2.2,0.5,5462.0,,4.0,2.6,5.0,4.3,0,3,11.6,95,0,0,Onsite,Bachelor,Single,2022-01-13 20:36:20.207371,2025-05-22 20:36:20.207371,Q1,468,1-3 years
1109,39,Male,Finance,Junior,1.4,1.4,5227.26,3.8,4.0,,3.8,3.6,1,0,14.9,56,0,0,Onsite,Master,Single,2019-04-23 20:36:20.207371,2025-08-24 20:36:20.207371,Q2,374,1-3 years
1110,22,Male,HR,Junior,2.6,2.6,4523.66,4.0,3.0,3.3,2.9,3.1,1,3,60.1,73,0,1,Hybrid,Bachelor,Single,2020-01-25 20:36:20.207371,2025-08-24 20:36:20.207371,Q1,374,1-3 years
1111,30,Female,Operations,Senior,3.7,0.3,5338.1,3.0,4.0,3.2,3.7,1.9,0,1,14.0,57,1,1,Onsite,Master,,2026-05-07 20:36:20.207371,2025-03-01 20:36:20.207371,Q2,550,3-5 years
1112,47,Non-Binary,HR,Lead,5.4,0.8,6380.14,1.5,4.0,4.2,3.5,4.6,1,4,3.4,40,0,0,Hybrid,Bachelor,Married,2017-02-09 20:36:20.207371,2024-12-25 20:36:20.207371,Q1,616,5-10 years
1113,27,Female,Operations,Manager,4.5,2.0,6484.07,3.4,4.0,4.1,2.6,3.4,0,2,25.7,20,0,0,Hybrid,High School,Single,2021-02-10 20:36:20.207371,2025-12-06 20:36:20.207371,Q1,270,3-5 years
1114,40,Female,Engineering,Lead,1.5,0.1,5900.1,4.3,3.0,2.3,2.9,4.1,1,3,35.5,64,1,1,Remote,Master,Married,2019-09-22 20:36:20.207371,2024-12-30 20:36:20.207371,Q3,611,1-3 years
